date,Close,High,Low,Open,Volume,aVWAP_peak_862,aVWAP_valley_817,SMA_50
2022-01-03 00:00:00+00:00,104.94,105.5,103.0,104.63,1041621,,,
2022-01-04 00:00:00+00:00,100.57,105.16,99.11,104.53,921439,,,
2022-01-05 00:00:00+00:00,92.95,99.89,92.91,99.89,1273622,,,
2022-01-06 00:00:00+00:00,90.25,91.93,87.8,90.0,2155857,,,
2022-01-07 00:00:00+00:00,89.57,90.51,87.66,89.93,1275187,,,
2022-01-10 00:00:00+00:00,89.7,89.815,85.26,87.93,1485484,,,
2022-01-11 00:00:00+00:00,92.5,92.8,88.73,89.57,1237832,,,
2022-01-12 00:00:00+00:00,89.97,95.06,89.55,93.49,867957,,,
2022-01-13 00:00:00+00:00,85.28,91.0299,85.16,90.07,863362,,,
2022-01-14 00:00:00+00:00,82.83,85.23,80.31,84.68,1355289,,,
2022-01-18 00:00:00+00:00,79.98,82.315,79.25,81.15,1143495,,,
2022-01-19 00:00:00+00:00,79.4,82.65,79.2,80.12,1049114,,,
2022-01-20 00:00:00+00:00,78.81,82.07,78.75,80.43,1157195,,,
2022-01-21 00:00:00+00:00,76.33,79.61,75.87,78.13,1617050,,,
2022-01-24 00:00:00+00:00,77.65,78.06,72.5,74.17,3174834,,,
2022-01-25 00:00:00+00:00,72.55,76.99,72.065,75.91,2038478,,,
2022-01-26 00:00:00+00:00,69.24,75.0,68.79,73.84,2914077,,,
2022-01-27 00:00:00+00:00,68.55,70.75,68.08,70.04,3587818,,,
2022-01-28 00:00:00+00:00,71.87,71.9,67.58,69.2,1436995,,,
2022-01-31 00:00:00+00:00,75.82,75.87,71.77,71.77,1703593,,,
2022-02-01 00:00:00+00:00,78.16,78.3,75.76,76.31,2686141,,,
2022-02-02 00:00:00+00:00,78.0,78.96,76.47,78.6,1864459,,,
2022-02-03 00:00:00+00:00,74.97,76.89,74.01,75.65,3528905,,,
2022-02-04 00:00:00+00:00,77.21,78.085,74.32,75.0,1665905,,,
2022-02-07 00:00:00+00:00,76.95,79.14,76.12,77.06,1219489,,,
2022-02-08 00:00:00+00:00,77.3,77.89,75.97,76.32,2136417,,,
2022-02-09 00:00:00+00:00,81.01,81.07,77.98,79.13,2226051,,,
2022-02-10 00:00:00+00:00,76.86,79.87,72.285,72.285,4009584,,,
2022-02-11 00:00:00+00:00,71.85,76.14,71.02,75.51,2828933,,,
2022-02-14 00:00:00+00:00,69.95,72.69,69.84,71.83,1983023,,,
2022-02-15 00:00:00+00:00,71.7,71.94,69.91,70.99,1900881,,,
2022-02-16 00:00:00+00:00,71.06,71.64,68.6,71.0,1280714,,,
2022-02-17 00:00:00+00:00,68.99,70.34,68.85,70.34,2133802,,,
2022-02-18 00:00:00+00:00,66.85,69.74,66.18,69.25,1821834,,,
2022-02-22 00:00:00+00:00,67.73,68.98,65.9,66.26,1673772,,,
2022-02-23 00:00:00+00:00,65.61,69.5,65.365,68.71,1805978,,,
2022-02-24 00:00:00+00:00,70.83,70.92,62.33,63.11,2372204,,,
2022-02-25 00:00:00+00:00,71.85,71.87,69.39,70.67,1047658,,,
2022-02-28 00:00:00+00:00,72.91,73.24,71.05,71.75,1646953,,,
2022-03-01 00:00:00+00:00,70.85,73.98,70.39,72.85,1555109,,,
2022-03-02 00:00:00+00:00,71.03,71.5,68.73,71.48,1222247,,,
2022-03-03 00:00:00+00:00,69.51,72.07,68.91,71.48,1719869,,,
2022-03-04 00:00:00+00:00,66.72,70.76,65.99,69.52,2253079,,,
2022-03-07 00:00:00+00:00,63.56,67.81,62.705,67.15,1934653,,,
2022-03-08 00:00:00+00:00,63.57,65.495,62.35,63.09,2066616,,,
2022-03-09 00:00:00+00:00,66.04,67.37,62.48,62.93,1675666,,,
2022-03-10 00:00:00+00:00,64.04,64.72,62.33,64.68,1387105,,,
2022-03-11 00:00:00+00:00,61.38,65.25,61.3,65.09,943681,,,
2022-03-14 00:00:00+00:00,59.42,62.821,58.82,61.59,1963430,,,
2022-03-15 00:00:00+00:00,61.82,62.22,58.58,59.62,2398428,,,75.5298
2022-03-16 00:00:00+00:00,63.88,64.86,60.99,62.97,2078309,,,74.70859999999999
2022-03-17 00:00:00+00:00,65.96,66.12,62.89,63.51,991726,,,74.01639999999999
2022-03-18 00:00:00+00:00,70.5,71.025,65.72,65.95,3316969,,,73.56739999999999
2022-03-21 00:00:00+00:00,67.38,70.26,67.1,69.07,1533434,,,73.11
2022-03-22 00:00:00+00:00,69.1,69.48,66.82,67.53,812305,,,72.7006
2022-03-23 00:00:00+00:00,67.97,69.91,67.33,69.39,962369,,,72.266
2022-03-24 00:00:00+00:00,69.41,69.445,67.29,68.25,626670,,,71.8042
2022-03-25 00:00:00+00:00,67.37,69.98,65.73,69.79,654721,,,71.3522
2022-03-28 00:00:00+00:00,68.12,68.75,66.425,67.48,1911664,,,71.009
2022-03-29 00:00:00+00:00,71.08,71.86,68.91,69.68,1014180,,,70.774
2022-03-30 00:00:00+00:00,69.22,71.08,68.9,70.69,1145659,,,70.5588
2022-03-31 00:00:00+00:00,68.36,69.845,68.35,69.39,1275896,,,70.33800000000001
2022-04-01 00:00:00+00:00,69.02,70.715,68.44,68.83,1471173,,,70.1422
2022-04-04 00:00:00+00:00,70.13,71.18,69.06,69.46,3261861,,,70.0182
2022-04-05 00:00:00+00:00,65.66,69.93,64.83,69.78,2732473,,,69.7784
2022-04-06 00:00:00+00:00,64.18,65.24,62.66,64.75,2201553,,,69.61099999999999
2022-04-07 00:00:00+00:00,62.8,65.34,61.89,64.13,2397440,,,69.4822
2022-04-08 00:00:00+00:00,61.43,62.75,60.57,62.19,1500417,,,69.3398
2022-04-11 00:00:00+00:00,61.75,62.31,59.76,60.56,1175945,,,69.1374
2022-04-12 00:00:00+00:00,61.39,64.32,60.99,62.61,1078519,,,68.8488
2022-04-13 00:00:00+00:00,62.22,62.53,60.8175,61.38,1011414,,,68.53
2022-04-14 00:00:00+00:00,60.63,62.55,60.61,62.55,1514385,,,68.18260000000001
2022-04-18 00:00:00+00:00,59.58,60.6,58.32,60.35,1985632,,,67.87480000000001
2022-04-19 00:00:00+00:00,61.32,61.54,59.35,59.76,877978,,,67.557
2022-04-20 00:00:00+00:00,59.52,62.0,59.45,61.59,841413,,,67.2084
2022-04-21 00:00:00+00:00,58.13,61.44,57.91,60.41,1237051,,,66.825
2022-04-22 00:00:00+00:00,56.72,58.87,56.7,58.4,1772148,,,66.3392
2022-04-25 00:00:00+00:00,58.6,58.63,56.03,56.53,1284395,,,65.974
2022-04-26 00:00:00+00:00,56.19,58.3,56.16,58.09,1285767,,,65.6608
2022-04-27 00:00:00+00:00,56.05,58.3,55.92,56.46,1894113,,,65.3828
2022-04-28 00:00:00+00:00,57.97,58.23,55.76,56.83,1626899,,,65.10820000000001
2022-04-29 00:00:00+00:00,56.13,58.99,56.03,57.29,2091685,,,64.80959999999999
2022-05-02 00:00:00+00:00,57.33,57.67,55.555,55.96,1403428,,,64.5764
2022-05-03 00:00:00+00:00,57.16,58.31,56.65,57.21,1521098,,,64.3826
2022-05-04 00:00:00+00:00,61.24,61.28,55.22,58.8,2832190,,,64.2528
2022-05-05 00:00:00+00:00,56.47,59.85,54.76,59.85,5187073,,,64.07
2022-05-06 00:00:00+00:00,54.89,56.7388,52.79,56.06,2462856,,,63.7512
2022-05-09 00:00:00+00:00,52.43,54.15,51.85,53.11,2646352,,,63.3628
2022-05-10 00:00:00+00:00,52.33,54.97,50.48,53.82,2218599,,,62.9512
2022-05-11 00:00:00+00:00,50.23,53.95,50.04,51.8,2088387,,,62.5388
2022-05-12 00:00:00+00:00,51.93,52.3,48.93,49.1,2381972,,,62.156800000000004
2022-05-13 00:00:00+00:00,56.4,57.12,53.02,53.02,2398062,,,61.8946
2022-05-16 00:00:00+00:00,54.84,56.45,54.54,55.46,2416587,,,61.657
2022-05-17 00:00:00+00:00,57.3,57.54,55.62,56.02,3541982,,,61.531800000000004
2022-05-18 00:00:00+00:00,55.33,57.43,54.89,56.4,1465774,,,61.367
2022-05-19 00:00:00+00:00,55.65,57.1,55.06,55.29,2565207,,,61.1592
