date,Open,High,Low,Close,Volume,aVWAP_peak_811,aVWAP_peak_670,aVWAP_valley_823,aVWAP_valley_806,aVWAP_valley_805,aVWAP_valley_743,aVWAP_valley_726,aVWAP_valley_707,aVWAP_valley_684,aVWAP_valley_643,aVWAP_valley_619,aVWAP_valley_604,aVWAP_valley_582,aVWAP_valley_523,aVWAP_valley_522,aVWAP_valley_482,aVWAP_valley_408,aVWAP_valley_354,aVWAP_valley_309,aVWAP_valley_257,aVWAP_valley_240,aVWAP_valley_190,aVWAP_valley_168,aVWAP_valley_130,aVWAP_valley_103,aVWAP_valley_90,aVWAP_OB_bull_823,aVWAP_OB_bull_309,aVWAP_OB_bull_240,aVWAP_OB_bull_90,aVWAP_OB_bear_670,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-07 15:00:00+00:00,1.335,1.395,1.32,1.37,2868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2868.0,False,False,False,False
2025-02-07 16:00:00+00:00,1.37,1.375,1.33,1.335,1652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1652.0,-25.612403100775193,False,False,False,False,2849.1472868217056,False,False,False,False
2025-02-07 17:00:00+00:00,1.335,1.345,1.325,1.335,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1652.0,-50.82771468060814,False,False,False,False,2808.07523586323,False,False,False,False
2025-02-07 18:00:00+00:00,1.335,1.34,1.315,1.315,2231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3883.0,-110.24123848400956,False,False,False,False,2799.1283329816292,False,False,False,False
2025-02-07 19:00:00+00:00,1.32,1.34,1.32,1.335,4782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,10.690717113946315,-40.378354597448315,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,899.0,-94.59408749976134,False,False,False,False,2829.8705293695107,False,False,False,False
2025-02-07 20:00:00+00:00,1.335,1.335,1.32,1.325,7012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,16.183959483249097,-36.07587949191259,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6113.0,-187.90270629821464,False,False,False,False,2894.709745968433,False,False,False,False
2025-02-10 15:00:00+00:00,1.385,1.395,1.375,1.395,3974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,33.10571476589108,-21.517997227339258,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2139.0,-218.15227674320354,False,False,False,False,2911.4429282014803,False,False,False,False
2025-02-10 16:00:00+00:00,1.395,1.395,1.365,1.375,6226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,41.054099293077094,-15.692381404706566,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8365.0,-344.4599933828438,False,False,False,False,2962.8314099347904,False,False,False,False
2025-02-10 17:00:00+00:00,1.375,1.375,1.355,1.355,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,43.62235952603787,-14.469659938044643,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10365.0,-499.81720278776095,False,False,False,False,2947.9037911761116,False,False,False,False
2025-02-10 18:00:00+00:00,1.355,1.36,1.345,1.355,7434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,45.334533014678385,-13.46616783013615,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10365.0,-652.7657732871755,False,False,False,False,3017.4556703826834,False,False,False,False
