date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_176,aVWAP_peak_159,aVWAP_peak_149,aVWAP_peak_130,aVWAP_peak_109,aVWAP_peak_96,aVWAP_peak_91,aVWAP_peak_83,aVWAP_peak_66,aVWAP_peak_56,aVWAP_peak_37,aVWAP_peak_23,aVWAP_valley_171,aVWAP_OB_bear_159,aVWAP_OB_bear_40,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.611,8.1,7.413,7.71,1026386,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1026386.0,False,False,False,False
2022-01-07 00:00:00+00:00,8.15,8.587,7.611,7.611,929730,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,929730,68868.88888888889,False,False,False,False,1019226.2962962963,False,False,False,False
2022-01-14 00:00:00+00:00,8.6,8.799,7.71,8.001,1108508,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2038238,214748.08230452673,False,False,False,False,1025839.755829904,False,False,False,False
2022-01-21 00:00:00+00:00,8.56,9.53,8.33,8.879,1512336,,,,,,,,,,,,,,,,,,,#000000,,,,98.77049852186602,48.837736883951465,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,525902,237796.52065233956,False,False,False,False,1061876.5146573186,False,False,False,False
2022-01-28 00:00:00+00:00,8.75,9.2,7.57,8.2,1678739,,,,,,,,,,,,,,,,,,,#000000,,,,98.11317392450411,48.266788497071886,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2204641,383488.7043077218,False,False,False,False,1107570.0320901098,False,False,False,False
2022-02-04 00:00:00+00:00,10.6,11.4,8.653,8.854,3947742,,,,,,,,,,,,,,,,,,,#000000,,,,98.30135563053472,48.07371831246424,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6152383,810814.207692335,False,False,False,False,1317953.1408241757,False,False,False,False
2022-02-11 00:00:00+00:00,12.6,12.6,10.4,10.9,3553941,,,,,,,,,,,,,,,,,,,#000000,,,,98.58676836347011,48.29040570513658,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9706324,1469740.8589743841,False,False,False,False,1483581.871133496,False,False,False,False
2022-02-18 00:00:00+00:00,12.6,13.8,12.0,12.5,3931134,,,,,,,,,,,,,,,,,,,#000000,,,,98.79063460128111,48.43513583596484,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9706324,2079858.1286799852,False,False,False,False,1664882.028827311,False,False,False,False
2022-02-25 00:00:00+00:00,13.8,14.6,12.8,13.2,3494785,,,,,,,,,,,,,,,,,,,#000000,,,,98.9819579998927,48.57627482251428,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13201109,2903654.4895185046,False,False,False,False,1800430.397062325,False,False,False,False
2022-03-04 00:00:00+00:00,15.3,15.5,13.5,14.1,5121203,,,,,,,,,,,,,,,,,,,#000000,,,,99.15476647998929,48.707549198017034,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282434321122,0.3428282434321122,False,False,False,False,18322312,4045777.2680726894,False,False,False,False,2046413.552835486,False,False,False,False
