date,Close,High,Low,Open,Volume,aVWAP_peak_189,aVWAP_peak_188,aVWAP_peak_187,aVWAP_peak_186,aVWAP_peak_185,aVWAP_peak_184,aVWAP_peak_183,aVWAP_peak_182,aVWAP_peak_181,aVWAP_peak_180,aVWAP_peak_179,aVWAP_peak_178,aVWAP_peak_177,aVWAP_peak_176,aVWAP_peak_175,aVWAP_peak_174,aVWAP_peak_173,aVWAP_peak_162,aVWAP_peak_146,aVWAP_peak_118,aVWAP_peak_112,aVWAP_peak_105,aVWAP_peak_86,aVWAP_peak_80,aVWAP_peak_70,aVWAP_peak_57,aVWAP_peak_33,aVWAP_peak_22,aVWAP_valley_189,aVWAP_valley_188,aVWAP_valley_187,aVWAP_valley_186,aVWAP_valley_185,aVWAP_valley_184,aVWAP_valley_183,aVWAP_valley_182,aVWAP_valley_181,aVWAP_valley_180,aVWAP_valley_179,aVWAP_valley_178,aVWAP_valley_177,aVWAP_valley_176,aVWAP_valley_175,aVWAP_valley_174,aVWAP_valley_173,aVWAP_valley_167,aVWAP_valley_151,aVWAP_valley_130,aVWAP_valley_120,aVWAP_valley_95,aVWAP_valley_94,aVWAP_OB_bull_130,aVWAP_OB_bull_95,aVWAP_OB_bear_33,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.545,7.68,7.5,7.58,27151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,27151.0,False,False,False,False
2022-01-07 00:00:00+00:00,7.5042,7.6,7.5,7.545,9262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9262,-686.074074074074,False,False,False,False,25825.888888888887,False,False,False,False
2022-01-14 00:00:00+00:00,7.55,7.56,7.1,7.51,34389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.600517746440477,-89.00129436610119,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25127,1226.00548696845,False,False,False,False,26460.193415637856,False,False,False,False
2022-01-21 00:00:00+00:00,7.1,7.52,7.1,7.44,5208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.455097254714698,-89.00129436610119,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19919,2610.6717471930087,False,False,False,False,24885.956866331348,False,False,False,False
2022-01-28 00:00:00+00:00,6.52,7.5042,6.475,7.13,83372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.673074550668899,-89.00129436610119,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-63453,-2282.93356741388,False,False,False,False,29218.25635771421,False,False,False,False
2022-02-04 00:00:00+00:00,6.4,6.91,6.09,6.52,32955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.572253964260721,-89.00129436610119,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-96408,-9255.160710568407,False,False,False,False,29495.05218306871,False,False,False,False
2022-02-11 00:00:00+00:00,6.645,7.11,6.23,6.5,52896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.310701813238179,-86.76852173235551,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-43512,-11792.704361637414,False,False,False,False,31228.45572506362,False,False,False,False
2022-02-18 00:00:00+00:00,5.89,6.65,5.89,6.65,6732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.598292279680987,-84.30002626593658,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-50244,-14640.948482997605,False,False,False,False,29413.903449132984,False,False,False,False
2022-02-25 00:00:00+00:00,6.12,6.25,5.5,5.87,21518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.568992410864714,-79.08924468029497,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28726,-15684.28563240519,False,False,False,False,28829.02171216017,False,False,False,False
2022-03-04 00:00:00+00:00,5.2,6.0711,5.2,6.05,12381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.564493716845774,-76.6811420785244,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-41107,-17567.449659634436,False,False,False,False,27610.649733481638,False,False,False,False
2022-03-11 00:00:00+00:00,4.85,5.7,4.7344,5.34,3720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.094799999999999,,15.04337378878724,-74.72352482625712,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-44827,-19586.675610772625,False,False,False,False,25840.97197544596,False,False,False,False
2022-03-18 00:00:00+00:00,5.691,6.38,4.82,4.82,28104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.567733283056811,,20.35926822248652,-67.17920242485374,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.2136110785888138,-0.2782196665021039,False,False,False,False,-16723,-19374.551491456135,False,False,False,False,26008.60368096848,False,False,False,False
2022-03-25 00:00:00+00:00,6.4,6.95,5.4501,5.78,68359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.044667152111635,,27.426634093435236,-58.2056543583344,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.020044269894131522,-0.1491319681981177,False,False,False,False,51636,-14114.510640237162,False,False,False,False,29145.670074970818,False,False,False,False
2022-04-01 00:00:00+00:00,6.22,7.0,6.22,6.4,4009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.270708736275337,,31.89726448726259,-51.96333631362682,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.19093270304349827,0.02090036742269029,False,False,False,False,47627,-9541.065407627002,False,False,False,False,27283.69451386187,False,False,False,False
2022-04-08 00:00:00+00:00,6.21,6.5,6.21,6.24,4863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.22867232559997,,35.05782567744889,-47.090098068309764,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.1891199028594146,0.10501013514105245,False,False,False,False,42764,-5666.61611817315,False,False,False,False,25622.902327649877,False,False,False,False
2022-04-15 00:00:00+00:00,5.9501,6.9,5.86,5.95,5585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.204031873883308,,36.46866600018525,-43.942833396861076,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.2009148473996157,0.15296249127033407,False,False,False,False,37179,-2492.866776086251,False,False,False,False,24138.61326634248,False,False,False,False
2022-04-22 00:00:00+00:00,5.8,6.24,5.67,5.915,4609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.1493173524573645,,37.00859516248768,-41.62780204056034,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.019620527861850114,0.08629150956609209,False,False,False,False,32570,104.38261473495277,False,False,False,False,22691.97524661341,False,False,False,False
2022-04-29 00:00:00+00:00,5.77,6.7155,5.26,5.82,20611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.009818570409792,,37.29901588648922,-39.54675737632506,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.03515157861858194,0.060721544092337015,True,False,False,False,11959,982.5024210508822,False,False,False,False,22537.82893204945,False,False,False,False
2022-05-06 00:00:00+00:00,5.81,6.47,5.4501,5.77,9568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,5.996306276319193,,37.723595202439654,-37.35498558024273,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.022014587299219273,0.041368065695778146,False,False,False,False,21527,2504.3170565285945,False,False,False,False,21577.100863008753,False,False,False,False
2022-05-13 00:00:00+00:00,6.48,6.6,5.76,5.86,16399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.067655924205652,,41.18162614646344,-32.34120613613986,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,0.12691482109300134,0.08414144339438974,False,False,False,False,37926,5128.145422711661,False,False,False,False,21193.537836119216,False,False,False,False
2022-05-20 00:00:00+00:00,7.42,7.4907,6.3872,6.3872,24135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.321633469962738,,46.70941540179106,-25.55705365592423,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,0.34282819909909773,0.21348482124674373,False,False,False,False,62061,9345.393909918204,False,False,False,False,21411.423922332608,False,False,False,False
2022-05-27 00:00:00+00:00,7.35,7.45,6.8,7.285,63910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,6.647630152821409,,50.36843609569607,-20.788318983135476,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,0.342828191111331,0.27815650617903737,False,False,False,False,-1849,8516.17954622056,False,False,False,False,24559.46659475241,False,False,False,False
2022-06-03 00:00:00+00:00,7.54,8.5,7.1,7.49,22665,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.713333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,7.713333333333333,,#000000,,7.005690780497991,,53.51880857737153,-16.63003343336203,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,0.3428282142713525,0.31049236022519494,False,False,False,False,20816,9427.277357611629,False,False,False,False,24419.135735881864,False,False,False,False
2022-06-10 00:00:00+00:00,6.19,7.51,6.0,7.51,14631,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.263502788502788,,,,,,,,,,,,,,,,,,,,,,,,,,,7.263502788502788,,#000000,,6.880726950440339,,51.18974326183857,-16.63003343336203,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.04384923591091523,0.13332156215713986,False,False,False,False,6185,9187.108664455212,False,False,False,False,23694.088644335057,False,False,False,False
2022-06-17 00:00:00+00:00,5.5,6.05,5.1,5.9,15907,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7511879029378035,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7511879029378035,,#000000,,6.449128746052838,,47.90484199105381,-16.63003343336203,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.34282825441539394,-0.10475334612912704,False,False,False,False,-9722,7786.433948569642,False,False,False,False,23117.2672632732,False,False,False,False
2022-06-24 00:00:00+00:00,6.22,6.22,5.4,5.5,5081,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.681052490105917,,,,,,,,,,,,,,,,,,,,,,,,,,,6.681052490105917,,#000000,,6.445512905110357,,47.67241740114033,-16.63003343336203,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.2664217506898934,-0.1855875484095102,False,False,False,False,-4641,6865.883285712632,False,False,False,False,21781.2474659937,False,False,False,False
2022-07-01 00:00:00+00:00,6.6,6.61,5.98,6.22,22033,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6030382110885615,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6030382110885615,,#000000,,6.505803816356596,,48.48708940506205,-16.63003343336203,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,0.9244821462115133,1.0350543895899862,False,False,False,False,-0.11695736155144368,-0.15127245498047692,False,False,False,False,17392,7645.595634919104,False,False,False,False,21799.895801846018,False,False,False,False
2022-07-08 00:00:00+00:00,6.395,6.5,5.955,6.15,8200,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5734215273149035,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5734215273149035,,#000000,,6.501241932178443,,48.54726661252667,-16.63003343336203,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,0.9209841208914997,1.0313368323556653,False,False,False,False,-0.1373058603150134,-0.14428915764774516,False,False,False,False,9192,7760.1441064065775,False,False,False,False,20792.496112820387,False,False,False,False
2022-07-15 00:00:00+00:00,6.395,6.395,6.395,6.395,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.573143797116162,,,,,,,,,,,,,,,,,,,,,,,,,,,6.573143797116162,,#000000,,6.501305254714133,,48.59025033214426,-15.922661786549504,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,0.9551695975089968,1.0347149553780317,False,False,False,False,-0.08698276457037782,-0.11563596110906149,False,False,True,False,9192,7866.207505932016,False,False,False,False,19262.533437796654,False,False,False,False
2022-07-22 00:00:00+00:00,6.91,7.0,5.92,6.08,13625,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5780535132316516,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5780535132316516,,#000000,,6.528780933554834,,50.004543686318996,-13.605494420491588,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,0.9379044352199384,1.008331054825052,False,False,False,False,-0.0675858775894443,-0.09161091934925289,False,False,False,False,22817,8973.673616603719,False,False,False,False,18844.938368330237,False,False,False,False
2022-07-29 00:00:00+00:00,6.8,7.0,6.5,6.9973,2544,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5826310132539625,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5826310132539625,,#000000,,6.535866269558343,,50.691294721674986,-12.052380321614656,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,0.9875515684430777,1.007848568790397,False,False,False,False,0.018541434640323394,-0.036534742354464744,False,False,False,False,20273,9810.660756114556,False,False,False,False,17637.461452157626,False,False,False,False
2022-08-05 00:00:00+00:00,7.5199,7.5199,6.6,6.77,4228,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6070810695814846,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6070810695814846,,#000000,,6.5612847936694525,,52.93760926727549,-9.066481959667058,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,1.0080601283040833,0.9608254988548799,False,False,False,False,0.11093234590274514,0.0371988017741402,False,False,False,False,24501,10898.834033439403,False,False,False,False,16644.16801125706,False,False,False,False
2022-08-12 00:00:00+00:00,7.31,7.54,7.31,7.5199,1465,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.617415162071597,,,,,,,,,,,,,,,,,,,,,,,,,,,6.617415162071597,,#000000,,6.57149038790877,,53.89345748658394,-7.409098905040317,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,1.0330062057391163,0.9675228649612088,False,False,False,False,0.34282821437984995,0.19001350807699507,False,False,False,False,23036,11797.883364295743,False,False,False,False,15519.78519560839,False,False,False,False
2022-08-19 00:00:00+00:00,6.97,7.99,6.91,7.18,17121,,,,,,,,,,,,,,,,,,,,,,,,,,,7.290000000000001,6.707633788265772,,,,,,,,,,,,,,,,,,,,,,,,,,7.290000000000001,6.9988168941328865,,#000000,,6.80533274890292,,53.5623164869663,-7.044634126164851,False,False,False,False,True,,-1.0,7.99,6.91,0.0,1,1.0299880663664012,0.9290440688985557,False,False,False,False,0.34282821491365695,0.266420861495326,False,False,False,False,5915,11362.114226199763,False,False,False,False,15638.3936996374,False,False,False,False
2022-08-26 00:00:00+00:00,6.27,6.97,6.27,6.97,513,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2671146648519915,6.706815955136258,,,,,,,,,,,,,,,,,,,,,,,,,,7.2671146648519915,6.986965309994124,,#000000,,6.799324286572275,,51.486135059384836,-7.044634126164851,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,1.0193361995430639,0.9554680166143006,False,False,False,False,-0.004024431846957873,0.13119821482418406,False,False,False,False,5402,10920.624283518298,False,False,False,False,14517.994166330926,False,False,False,False
