date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_914,Gap_Up_aVWAP_907,Gap_Up_aVWAP_890,Gap_Up_aVWAP_889,Gap_Up_aVWAP_872,Gap_Up_aVWAP_870,Gap_Up_aVWAP_835,Gap_Up_aVWAP_831,Gap_Up_aVWAP_827,Gap_Up_aVWAP_808,Gap_Down_aVWAP_871,Gap_Down_aVWAP_812,Gap_Down_aVWAP_793,Gap_Down_aVWAP_783,Gap_Down_aVWAP_773,Gap_Down_aVWAP_759,Gap_Down_aVWAP_757,Gap_Down_aVWAP_743,Gap_Down_aVWAP_733,Gap_Down_aVWAP_704,aVWAP_OB_bull_819,aVWAP_OB_bull_649,aVWAP_OB_bull_515,aVWAP_OB_bull_457,aVWAP_OB_bear_104,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,56.4134873017,56.6820101308,55.8211575317,55.860646183,3285507,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3285507.0,False,False,False,False
2022-01-04 00:00:00+00:00,56.4845668741,56.8320670059,56.3582031898,56.3818963807,2650316,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2650316,103933.96078431372,False,False,False,False,3260597.5490196077,False,False,False,False
2022-01-05 00:00:00+00:00,55.8369529922,56.8478624664,55.8290552619,56.6741124006,1554120,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.69086021491204,-71.23655914035186,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1096196,142846.19761630142,False,False,False,False,3193676.8608227605,False,False,False,False
2022-01-06 00:00:00+00:00,56.6346237492,56.8399647362,55.9870098673,56.2634304266,2460003,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.21427324948938,-71.23655914035186,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3556199,276703.1702587994,False,False,False,False,3164905.336868927,False,False,False,False
2022-01-07 00:00:00+00:00,57.1953625982,57.2940842266,56.6662146703,56.8004760848,2353347,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.95873368693461,-66.86155227551666,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,5909546,497598.9675035523,False,False,False,False,3133079.519736812,False,False,False,False
2022-01-10 00:00:00+00:00,56.65831694,57.2822376312,56.3661009201,57.0453057231,1426435,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.41471990373626,-66.73985973300569,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4483111,653893.5570132169,False,False,False,False,3066152.2836687015,False,False,False,False
2022-01-11 00:00:00+00:00,57.6455332235,57.6534309537,56.6978055914,56.776782894,1380138,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35452462996281,-59.4951154623126,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,5863249,858182.0057577967,False,False,False,False,3000034.0764660076,False,False,False,False
2022-01-12 00:00:00+00:00,57.9535447039,58.4353062502,57.779794638,57.8508742104,2829988,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.68078409028442,-51.599568493019476,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,8693237,1165439.06435553,False,False,False,False,2993365.6028791056,False,False,False,False
2022-01-13 00:00:00+00:00,58.1509879606,58.6327495069,58.1351925001,58.1904766119,2012747,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.84323919597031,-43.82530297092987,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,10705984,1539578.0814396269,False,False,False,False,2954909.971393651,False,False,False,False
2022-01-14 00:00:00+00:00,58.0720106579,58.3444823522,57.6692264143,57.9298515131,2133802,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.58390558217684,-37.48069760087964,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,8572182,1815366.4704027788,False,False,False,False,2922709.6587899784,False,False,False,False
2022-01-18 00:00:00+00:00,58.2457607238,58.458999441,57.9338003782,58.3958175989,1710148,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.67557317532835,-30.975472368847704,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,10282330,2147404.2558771796,False,False,False,False,2875158.221190371,False,False,False,False
2022-01-19 00:00:00+00:00,57.5191695392,58.5853631253,57.3454194733,58.5853631253,1730380,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.78969674389221,-30.975472368847704,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,8551950,2398562.912509447,False,False,False,False,2830264.957614278,False,False,False,False
2022-01-20 00:00:00+00:00,57.4559876971,58.2299652633,57.4007035852,57.4559876971,1709040,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.126770084800604,-30.34234413705979,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,6842910,2572851.033587508,False,False,False,False,2786295.351433326,False,False,False,False
2022-01-21 00:00:00+00:00,56.4371804925,57.219055789,56.1291690121,56.8873511178,2984842,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.57667913470807,-30.34234413705979,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3858068,2623251.6989370175,False,False,False,False,2794081.494514372,False,False,False,False
2022-01-24 00:00:00+00:00,55.5842256236,55.655305196,54.2889978597,55.0866686168,2401537,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,55.17617622643333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.819765415101486,-30.34234413705979,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,1456531,2577497.9460375262,False,False,False,False,2778687.5927687106,False,False,False,False
2022-01-25 00:00:00+00:00,56.0501917094,56.4766691439,54.6286002612,55.3314982551,1691911,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,55.40032506814099,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.089537647192316,-30.34234413705979,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,3148442,2599887.9089380153,False,False,False,False,2736068.902856212,False,False,False,False
2022-01-26 00:00:00+00:00,56.4055895715,57.187464868,56.0501917094,56.8478624664,2893038,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,55.875462385559594,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.94385452761203,-30.34234413705979,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,6041480,2734852.304665936,False,False,False,False,2742224.553724596,False,False,False,False
2022-01-27 00:00:00+00:00,56.1765553937,57.2585444404,55.9633166765,56.8399647362,1697226,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,55.990909723143574,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.01767830866236,-30.34234413705979,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4344254,2797966.096639821,False,False,False,False,2701244.2182844155,False,False,False,False
2022-01-28 00:00:00+00:00,55.8527484527,56.1212712818,55.153799324,56.1212712818,1833438,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,55.94181244539677,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.27977864619011,-30.34234413705979,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,2510816,2786705.3085362986,False,False,False,False,2667212.6018811055,False,False,False,False
2022-01-31 00:00:00+00:00,56.8320670059,56.9742261507,55.623714275,55.7105893079,1513735,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,56.00910851750272,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.39708320530467,-28.05036494354981,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,4024551,2835248.276828993,False,False,False,False,2621978.186121062,False,False,False,False
2022-02-01 00:00:00+00:00,57.4164990457,57.6139423024,56.7609874335,56.9979193415,1703274,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,56.164713219701284,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4254791657946,-22.139379219977858,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,5727825,2948682.658129817,False,False,False,False,2585950.5709790597,False,False,False,False
