date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_39,aVWAP_BoS_CHoCH_bull_74,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,9.72,9.72,9.71,9.71,50836,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,9.72,9.72,9.71,9.71,6002,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-05 00:00:00+00:00,9.72,9.72,9.72,9.72,4893,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-06 00:00:00+00:00,9.72,9.72,9.72,9.72,2,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,9.72,9.72,9.72,9.72,0,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-10 00:00:00+00:00,9.72,9.72,9.71,9.71,2293,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-11 00:00:00+00:00,9.72,9.72,9.71,9.71,12361,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-12 00:00:00+00:00,9.73,9.73,9.72,9.72,2558,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-13 00:00:00+00:00,9.73,9.73,9.73,9.73,132,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-14 00:00:00+00:00,9.73,9.73,9.73,9.73,2,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-18 00:00:00+00:00,9.71,9.72,9.71,9.72,64623,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,75.76916075004551,27.788397354208385,False,False,True,False,False,
2022-01-19 00:00:00+00:00,9.73,9.73,9.71,9.73,90667,,,9.723333333333334,#000000,,9.723333333333334,,0,,,0.0,0.0,0.0,0.0,70.381670073235,24.196021969907335,False,False,True,False,False,
2022-01-20 00:00:00+00:00,9.71,9.71,9.7,9.71,124311,,,9.713695835542863,#000000,,9.713695835542863,,0,,,0.0,0.0,0.0,0.0,60.267058127050774,16.064947975240244,False,False,True,False,False,
2022-01-21 00:00:00+00:00,9.705,9.71,9.7,9.71,35619,,,9.712459839237237,#000000,,9.712459839237237,,0,,,0.0,0.0,0.0,0.0,52.41885336103259,10.087164688049654,False,False,False,False,False,
2022-01-24 00:00:00+00:00,9.7,9.71,9.69,9.69,5236,,,9.71220483023431,#000000,,9.71220483023431,,0,,,0.0,0.0,0.0,0.0,46.16481851590969,5.440194570122344,False,False,False,True,False,
2022-01-25 00:00:00+00:00,9.68,9.68,9.67,9.67,6063,,,9.694024386906763,#000000,,9.694024386906763,,0,,,0.0,0.0,0.0,0.0,38.9815586247414,-0.28609249329088016,False,False,False,True,False,
2022-01-26 00:00:00+00:00,9.67,9.67,9.67,9.67,2470,,,9.685244124483278,#000000,,9.685244124483278,,0,,,0.0,0.0,0.0,0.0,33.13645752005262,-4.930435955591463,False,False,False,True,False,
2022-01-27 00:00:00+00:00,9.67,9.6701,9.67,9.67,2848,,,9.681042487357193,#000000,,9.681042487357193,,0,,,0.0,0.0,0.0,0.0,29.239723450260104,-8.000057893586018,False,False,False,True,False,
2022-01-28 00:00:00+00:00,9.67,9.67,9.67,9.67,412,,,9.678795529326413,#000000,,9.678795529326413,,0,,,0.0,0.0,0.0,0.0,26.64190073706509,-10.16146247404825,False,False,False,True,False,
2022-01-31 00:00:00+00:00,9.7,9.7,9.7,9.7,373,,,9.682788376490858,#000000,,9.682788376490858,,0,,,0.0,0.0,0.0,0.0,33.8000142640955,-10.16146247404825,False,False,False,True,False,
2022-02-01 00:00:00+00:00,9.7,9.71,9.7,9.71,13826,,,9.698578989493686,#000000,,9.698578989493686,,0,,,0.0,0.0,0.0,0.0,38.57208994878245,-10.16146247404825,False,False,False,True,True,
2022-02-02 00:00:00+00:00,9.7,9.7,9.7,9.7,0,,,9.698578989493686,#000000,,9.698578989493686,,0,,,0.0,0.0,0.0,0.0,41.753473738573746,-22.50396376335096,False,False,False,True,True,
2022-02-03 00:00:00+00:00,9.7,9.7,9.7,9.7,0,,,9.698578989493686,#000000,,9.698578989493686,,0,,,0.0,0.0,0.0,0.0,43.874396265101275,-20.26191177820362,False,False,False,True,True,
2022-02-04 00:00:00+00:00,9.7,9.7,9.7,9.7,0,,,9.698578989493686,#000000,,9.698578989493686,,0,,,0.0,0.0,0.0,0.0,45.28834461611963,-18.48899955341457,False,False,False,True,True,
2022-02-07 00:00:00+00:00,9.72,9.725,9.7,9.7,56267,,,9.71091864882019,#000000,,9.71091864882019,,0,,,0.0,0.0,0.0,0.0,50.851131812117906,-12.757793484477219,False,False,False,False,True,
2022-02-08 00:00:00+00:00,9.72,9.72,9.72,9.72,6,,,9.710919294027576,#000000,,9.710919294027576,,0,,,0.0,0.0,0.0,0.0,54.55965660945009,-8.863329166920721,False,False,True,False,True,
2022-02-09 00:00:00+00:00,9.72,9.72,9.72,9.72,75,,,9.710927350405392,#000000,,9.710927350405392,,0,,,0.0,0.0,0.0,0.0,57.03200647433822,-6.095023074607184,False,False,True,False,True,
2022-02-10 00:00:00+00:00,9.71,9.71,9.7,9.7,612914,,,9.707267655689241,#000000,,9.707267655689241,,0,,,0.0,0.0,0.0,0.0,55.56181152442561,-6.095023074607184,False,False,True,False,True,
2022-02-11 00:00:00+00:00,9.71,9.71,9.705,9.705,30686,,,9.707312990900531,#000000,,9.707312990900531,,0,,,0.0,0.0,0.0,0.0,54.5816815578172,-6.095023074607184,False,False,True,False,True,
2022-02-14 00:00:00+00:00,9.7,9.705,9.7,9.705,4112,,,9.706480145185456,#000000,,9.706480145185456,,0,,,0.0,0.0,0.0,0.0,51.21931860753857,-6.095023074607184,False,False,False,False,False,
2022-02-15 00:00:00+00:00,9.7,9.7,9.7,9.7,5,,,9.705669837974375,#000000,,9.705669837974375,,0,,,0.0,0.0,0.0,0.0,48.97774330735281,-6.095023074607184,False,False,False,False,False,
2022-02-16 00:00:00+00:00,9.7,9.7,9.7,9.7,220,,,9.70502906421241,#000000,,9.70502906421241,,0,,,0.0,0.0,0.0,0.0,47.48335977389564,-6.095023074607184,False,False,False,False,False,
2022-02-17 00:00:00+00:00,9.72,9.72,9.72,9.72,380,,,9.708001410995058,#000000,,9.708001410995058,,0,,,0.0,0.0,0.0,0.0,51.877457867172424,-6.095023074607184,False,False,False,False,False,
2022-02-18 00:00:00+00:00,9.72,9.72,9.72,9.72,10,,,9.708032300398756,#000000,,9.708032300398756,,0,,,0.0,0.0,0.0,0.0,54.806856596023614,-5.3549857975750115,False,False,True,False,True,
2022-02-22 00:00:00+00:00,9.72,9.72,9.72,9.72,47,,,9.70816637223649,#000000,,9.70816637223649,,0,,,0.0,0.0,0.0,0.0,56.75978908192441,-3.116640302655732,False,False,True,False,True,
2022-02-23 00:00:00+00:00,9.71,9.715,9.71,9.715,339,,,9.70810991241901,#000000,,9.70810991241901,,0,,,0.0,0.0,0.0,0.0,54.777697747565924,-3.116640302655732,False,False,True,False,True,
2022-02-24 00:00:00+00:00,9.7,9.7,9.7,9.7,576,,,9.706326642258825,#000000,,9.706326642258825,,0,,,0.0,0.0,0.0,0.0,50.88912014189704,-3.116640302655732,False,False,False,False,False,
2022-02-25 00:00:00+00:00,9.7,9.7,9.7,9.7,0,,,9.706326642258825,#000000,,9.706326642258825,,0,,,0.0,0.0,0.0,0.0,48.29673507145111,-3.116640302655732,False,False,False,False,False,
