date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_386,aVWAP_BoS_CHoCH_bull_564,aVWAP_BoS_CHoCH_bull_596,aVWAP_BoS_CHoCH_bull_687,aVWAP_BoS_CHoCH_bear_48,aVWAP_BoS_CHoCH_bear_140,aVWAP_BoS_CHoCH_bear_248,aVWAP_BoS_CHoCH_bear_351,aVWAP_BoS_CHoCH_bear_552,aVWAP_BoS_CHoCH_bear_594,aVWAP_BoS_CHoCH_bear_711,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,41.05,41.5,39.54,40.77,778139,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,39.54,41.49,38.22,41.19,1079091,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,36.94,39.23,36.77,39.22,975027,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,36.61,37.99,35.41,36.81,871711,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-07 00:00:00+00:00,36.44,37.44,35.15,36.21,1201134,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-10 00:00:00+00:00,36.07,36.12,33.82,35.82,1651452,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-11 00:00:00+00:00,38.33,38.81,35.65,36.07,1063888,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,13.220503774078368,-37.8812048737615,False,False,False,True,True,
2022-01-12 00:00:00+00:00,39.37,40.53,39.1,39.25,1900900,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,25.396981878628033,-27.453905709817548,False,False,False,True,True,
2022-01-13 00:00:00+00:00,37.57,40.15,37.49,39.89,1315502,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,29.51046811061127,-24.818726272907835,False,False,False,True,True,
2022-01-14 00:00:00+00:00,36.56,38.01,35.88,37.0,1293086,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,30.621239882845085,-24.706865356507926,False,False,False,True,True,
2022-01-18 00:00:00+00:00,33.63,35.89,33.53,35.85,1187093,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,28.15702973152009,-24.706865356507926,False,False,False,True,True,
2022-01-19 00:00:00+00:00,32.51,34.62,32.5,34.02,1112505,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,25.665622342844365,-24.706865356507926,False,False,False,True,False,
2022-01-20 00:00:00+00:00,31.98,34.26,31.96,33.37,1409041,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,23.632596800368233,-19.35386645460253,False,False,False,True,False,
2022-01-21 00:00:00+00:00,29.99,31.79,29.8,31.71,1616538,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,21.088400842751305,-21.621081511673868,False,False,False,True,False,
2022-01-24 00:00:00+00:00,30.34,30.43,26.14,28.45,2503953,,,,,,,,,,,,28.97,#000000,,28.97,,0,,,0.0,0.0,0.0,0.0,20.346047057050114,-22.3117390133426,False,False,False,True,False,
2022-01-25 00:00:00+00:00,29.09,30.44,28.37,29.0,1175398,,,,,,,,,,,,29.075421129976455,#000000,,29.075421129976455,,0,,,0.0,0.0,0.0,0.0,19.109099393331444,-23.613657894773485,False,False,False,True,False,
2022-01-26 00:00:00+00:00,29.09,31.595,28.83,30.39,1459962,,,,,,,,,,,,29.29214714495887,#000000,,29.29214714495887,,0,,,0.0,0.0,0.0,0.0,18.284467617519,-24.616834888009905,False,False,False,True,False,
2022-01-27 00:00:00+00:00,27.16,29.9,27.1,29.9,1248446,,,,,,,,,,,,29.050029033134575,#000000,,29.050029033134575,,0,,,0.0,0.0,0.0,0.0,16.732914905912793,-26.360267316150885,False,False,False,True,False,
2022-01-28 00:00:00+00:00,28.88,29.09,26.47,27.28,1274269,,,,,,,,,,,,28.899791177131345,#000000,,28.899791177131345,,0,,,0.0,0.0,0.0,0.0,20.03029908371932,-26.360267316150885,False,False,False,True,False,
2022-01-31 00:00:00+00:00,32.45,32.52,29.31,29.6,1724749,,,,,,,,,,,,29.364085361780727,#000000,,29.364085361780727,,0,,,0.0,0.0,0.0,0.0,28.482232026592023,-28.853184384331474,False,False,False,True,True,
2022-02-01 00:00:00+00:00,34.62,35.42,32.69,34.03,2365272,,,,,,,,,,,,30.346105485094558,#000000,,30.346105485094558,,0,,,0.0,0.0,0.0,0.0,36.774721105085874,-21.38055954451023,False,False,False,True,True,
2022-02-02 00:00:00+00:00,32.08,35.5,31.75,35.38,1957223,,,,,,,,,,,,31.925348336147973,#000000,,31.925348336147973,,0,,,0.0,0.0,0.0,0.0,39.48855549598685,-19.235692611662643,False,False,False,True,True,
2022-02-03 00:00:00+00:00,30.83,32.42,26.41,26.79,4419288,,,,,,,,,,,,30.704275318596565,#000000,,30.704275318596565,,0,,,0.0,0.0,0.0,0.0,40.11646516765822,-18.812884811066258,False,False,False,True,True,
2022-02-04 00:00:00+00:00,31.52,32.12,30.6189,31.17,1770384,,,,,,,,,,,,30.802801630802815,#000000,,30.802801630802815,,0,,,0.0,0.0,0.0,0.0,41.4285274776653,-17.50455538239727,False,False,False,True,True,
2022-02-07 00:00:00+00:00,30.94,33.03,30.88,31.55,1225632,,,,,,,,,,,,30.872664536984246,#000000,,30.872664536984246,,0,,,0.0,0.0,0.0,0.0,41.707666395587104,-17.003129129118662,False,False,False,True,True,
2022-02-08 00:00:00+00:00,30.31,31.1,29.82,30.73,1344559,,,,,,,,,,,,30.823141382174178,#000000,,30.823141382174178,,0,,,0.0,0.0,0.0,0.0,41.24257454088757,-17.003129129118662,False,False,False,True,True,
2022-02-09 00:00:00+00:00,32.29,32.315,30.885,31.03,1820391,,,,,,,,,,,,30.92803334682999,#000000,,30.92803334682999,,0,,,0.0,0.0,0.0,0.0,43.67367888402686,-14.401783638748356,False,False,False,True,True,
2022-02-10 00:00:00+00:00,32.29,33.92,30.8725,31.42,1284002,,,,,,,,,,,,31.026591519182567,#000000,,31.026591519182567,,0,,,0.0,0.0,0.0,0.0,45.294415112786396,-12.498902922150705,False,False,False,True,True,
2022-02-11 00:00:00+00:00,29.74,32.55,29.16,32.03,1239981,,,,,,,,,,,,30.9880049984288,#000000,,30.9880049984288,,0,,,0.0,0.0,0.0,0.0,43.51530601816421,-12.498902922150705,False,False,False,True,True,
2022-02-14 00:00:00+00:00,28.73,30.3599,28.71,29.54,1452271,,,,,,,,,,,,30.86479876336586,#000000,,30.86479876336586,,0,,,0.0,0.0,0.0,0.0,41.37689561839021,-12.498902922150705,False,False,False,True,False,
2022-02-15 00:00:00+00:00,31.73,31.845,29.66,29.78,1462107,,,,,,,,,,,,30.876545528083504,#000000,,30.876545528083504,,0,,,0.0,0.0,0.0,0.0,43.92190800113053,-12.498902922150705,False,False,False,True,False,
2022-02-16 00:00:00+00:00,30.7,31.49,30.29,31.3,866505,,,,,,,,,,,,30.87353810708003,#000000,,30.87353810708003,,0,,,0.0,0.0,0.0,0.0,44.52810313043216,-12.400700511434572,False,False,False,True,False,
2022-02-17 00:00:00+00:00,28.01,30.4,27.98,30.14,936298,,,,,,,,,,,,30.792437493524698,#000000,,30.792437493524698,,0,,,0.0,0.0,0.0,0.0,42.47900640295407,-12.400700511434572,False,False,False,True,False,
2022-02-18 00:00:00+00:00,26.6,28.64,26.5,28.07,1258980,,,,,,,,,,,,30.617173163187676,#000000,,30.617173163187676,,0,,,0.0,0.0,0.0,0.0,40.026814127190974,-12.400700511434572,False,False,False,True,False,
2022-02-22 00:00:00+00:00,25.71,26.88,25.36,26.02,1758779,,,,,,,,,,,,30.319693615340338,#000000,,30.319693615340338,,0,,,0.0,0.0,0.0,0.0,37.740329024265634,-12.400700511434572,False,False,False,True,False,
2022-02-23 00:00:00+00:00,24.51,26.71,24.48,26.09,1171858,,,,,,,,,,,,30.11196295940089,#000000,,30.11196295940089,,0,,,0.0,0.0,0.0,0.0,35.37286481450845,-8.117652947113726,False,False,False,True,False,
2022-02-24 00:00:00+00:00,25.97,25.98,22.31,22.86,2195026,,,,,,,,,,,,29.73266225723883,#000000,,29.73266225723883,,0,,,0.0,0.0,0.0,0.0,35.93581089496906,-8.117652947113726,False,False,False,True,False,
2022-02-25 00:00:00+00:00,26.36,26.55,24.81,25.93,1521591,,,,,,,,,,,,29.554634119625007,#000000,,29.554634119625007,,0,,,0.0,0.0,0.0,0.0,36.86689162350618,-8.117652947113726,False,False,False,True,False,
2022-02-28 00:00:00+00:00,26.27,27.44,25.98,25.98,1373223,,,,,,,,,,,,29.434568602491574,#000000,,29.434568602491574,,0,,,0.0,0.0,0.0,0.0,37.40137638451211,-8.117652947113726,False,False,False,True,False,
2022-03-01 00:00:00+00:00,25.58,27.29,25.22,26.46,1188203,,,,,,,,,,,,29.320377916627617,#000000,,29.320377916627617,,0,,,0.0,0.0,0.0,0.0,37.073828187159386,-8.117652947113726,False,False,False,True,False,
2022-03-02 00:00:00+00:00,25.86,26.04,24.52,25.97,1364558,,,,,,,,,,,,29.177790500401088,#000000,,29.177790500401088,,0,,,0.0,0.0,0.0,0.0,37.34825265558675,-8.117652947113726,False,False,False,True,False,
2022-03-03 00:00:00+00:00,24.55,26.18,24.4,25.98,1193295,,,,,,,,,,,,29.048106740654923,#000000,,29.048106740654923,,0,,,0.0,0.0,0.0,0.0,36.18112926294357,-8.923710047936964,False,False,False,True,False,
2022-03-04 00:00:00+00:00,22.47,24.66,22.16,24.35,1791673,,,,,,,,,,,,28.780260115422927,#000000,,28.780260115422927,,0,,,0.0,0.0,0.0,0.0,33.628336899925344,-11.604141755456212,False,False,False,True,False,
2022-03-07 00:00:00+00:00,20.92,22.8,20.69,22.46,1396420,,,,,,,,,,,,28.532629809283833,#000000,,28.532629809283833,,0,,,0.0,0.0,0.0,0.0,30.84057496486378,-14.3806597780722,False,False,False,True,False,
2022-03-08 00:00:00+00:00,21.58,22.4,20.06,20.77,1226148,,,,,,,,,,,,28.32530331938484,#000000,,28.32530331938484,,0,,,0.0,0.0,0.0,0.0,30.247077561291878,-15.04963427151101,False,False,False,True,False,
2022-03-09 00:00:00+00:00,23.4,23.4278,22.3145,22.47,984470,,,,,,,,,,,,28.206128469899895,#000000,,28.206128469899895,,0,,,0.0,0.0,0.0,0.0,33.00760348348831,-15.04963427151101,False,False,False,True,True,
2022-03-10 00:00:00+00:00,22.66,23.0422,21.92,22.5,800442,,,,,,,,,,,,28.10399914709182,#000000,,28.10399914709182,,0,,,0.0,0.0,0.0,0.0,34.12447154468304,-15.04963427151101,False,False,False,True,True,
2022-03-11 00:00:00+00:00,21.11,23.54,21.025,23.37,803729,,,,,,,,,,,,27.99353871386956,#000000,,27.99353871386956,,0,,,0.0,0.0,0.0,0.0,33.47672829326928,-15.04963427151101,False,False,False,True,True,
2022-03-14 00:00:00+00:00,19.9,21.15,19.48,20.95,1456771,,,,,,,,,,,,25.225118120572102,#000000,,25.225118120572102,,0,,,-1.0,0.0,19.48,87.0,32.08167764740982,-15.04963427151101,False,False,False,True,True,
2022-03-15 00:00:00+00:00,21.62,21.855,19.9,19.9,1174268,,,,,,,,,,,,25.25790279954393,#000000,,25.25790279954393,,0,,,0.0,0.0,0.0,0.0,34.05347121135266,-15.04963427151101,False,False,False,True,True,0.0
2022-03-16 00:00:00+00:00,23.8,23.8,21.89,22.04,1350566,,,,,,,,,,,,25.467136702013047,#000000,,25.467136702013047,,0,,,0.0,0.0,0.0,0.0,38.395859950925185,-16.409989358517166,False,False,False,True,True,0.0
2022-03-17 00:00:00+00:00,27.72,27.79,22.91,23.51,3115027,,,,,,,,,,,,26.099193625901375,#000000,,26.099193625901375,,0,,,0.0,0.0,0.0,0.0,45.25397676169102,-10.147036931243399,True,False,False,True,True,0.0
2022-03-18 00:00:00+00:00,29.06,29.33,26.85,27.22,2151130,,,,,,,,,,,,26.50662413063584,#000000,,26.50662413063584,,0,,,0.0,0.0,0.0,0.0,50.891469723042675,-5.242615491514584,True,False,True,False,True,0.0
2022-03-21 00:00:00+00:00,29.35,29.8812,27.72,28.88,1325891,,,,,,,,,,,,26.712621727362293,#000000,,26.712621727362293,,0,,,0.0,0.0,0.0,0.0,54.87941441719579,-1.9256857114857269,True,False,True,False,True,0.0
2022-03-22 00:00:00+00:00,31.73,32.17,29.21,29.31,1444356,,,,,,,,,,,,27.00711058910841,#000000,,27.00711058910841,,0,,,0.0,0.0,0.0,0.0,59.28589072738892,1.8366322194017286,True,False,True,False,True,0.0
2022-03-23 00:00:00+00:00,30.57,32.17,30.18,31.5,1126801,,,,,,,,,,,,27.196419830185942,#000000,,27.196419830185942,,0,,,0.0,0.0,0.0,0.0,60.62642946171834,2.825051032129956,True,False,True,False,True,0.0
2022-03-24 00:00:00+00:00,30.09,31.53,28.95,30.91,1186284,,,,,,,,,,,,27.337210403008896,#000000,,27.337210403008896,,0,,,0.0,0.0,0.0,0.0,60.86528001170148,3.0161746026577987,True,False,True,False,True,0.0
2022-03-25 00:00:00+00:00,29.0,31.04,28.7,30.15,1250146,,,,,,,,,,,,27.441883287159015,#000000,,27.441883287159015,,0,,,0.0,0.0,0.0,0.0,59.55355272854651,3.0161746026577987,True,False,True,False,True,0.0
2022-03-28 00:00:00+00:00,29.06,29.91,28.0,29.03,826999,,,,,,,,,,,,27.48877458454633,#000000,,27.48877458454633,,0,,,0.0,0.0,0.0,0.0,58.741332296802256,3.0161746026577987,True,False,True,False,True,0.0
