date,Close,High,Low,Open,Volume
2021-12-31 00:00:00+00:00,5.03,5.75,5.02,5.67,330427
2022-01-07 00:00:00+00:00,5.08,5.45,4.5762,5.3,155212
2022-01-14 00:00:00+00:00,4.71,5.0376,4.41,4.96,131398
2022-01-21 00:00:00+00:00,5.72,5.88,4.505,4.74,256288
2022-01-28 00:00:00+00:00,4.77,5.47,4.6,5.47,172563
2022-02-04 00:00:00+00:00,5.21,5.5,4.7,4.7,52092
2022-02-11 00:00:00+00:00,7.26,7.98,5.25,5.34,844683
2022-02-18 00:00:00+00:00,6.54,7.42,6.5,7.24,176174
2022-02-25 00:00:00+00:00,6.07,6.6,5.57,6.6,105210
2022-03-04 00:00:00+00:00,6.47,7.47,5.92,6.06,237224
2022-03-11 00:00:00+00:00,6.83,7.45,6.1101,6.62,295342
2022-03-18 00:00:00+00:00,6.7,6.84,6.155,6.83,198420
2022-03-25 00:00:00+00:00,6.88,7.25,6.26,7.17,65036
2022-04-01 00:00:00+00:00,7.03,7.94,6.67,7.0,184569
2022-04-08 00:00:00+00:00,5.66,7.4399,5.63,7.4,213637
2022-04-15 00:00:00+00:00,5.36,6.135,5.19,5.5,194858
2022-04-22 00:00:00+00:00,5.28,5.785,5.13,5.29,108782
2022-04-29 00:00:00+00:00,5.31,5.55,5.05,5.28,123916
2022-05-06 00:00:00+00:00,5.3,5.93,5.07,5.1701,76525
2022-05-13 00:00:00+00:00,4.98,5.16,4.06,5.07,182695
2022-05-20 00:00:00+00:00,5.11,5.5,4.75,4.89,80014
2022-05-27 00:00:00+00:00,5.24,5.41,4.69,5.41,55342
2022-06-03 00:00:00+00:00,5.5,5.85,5.09,5.23,49802
2022-06-10 00:00:00+00:00,5.41,6.0,2.3,5.58,46146
2022-06-17 00:00:00+00:00,5.06,5.38,4.69,5.355,53026
2022-06-24 00:00:00+00:00,5.3853,5.62,5.21,5.38,24502
2022-07-01 00:00:00+00:00,4.5146,5.38,4.5146,5.32,32319
2022-07-08 00:00:00+00:00,4.81,4.86,4.4527,4.56,7234
2022-07-15 00:00:00+00:00,4.34,4.83,4.3,4.78,30029
2022-07-22 00:00:00+00:00,4.98,5.21,4.53,4.53,11893
2022-07-29 00:00:00+00:00,5.7,5.85,4.9704,4.98,68767
2022-08-05 00:00:00+00:00,6.72,6.75,5.7,5.74,107980
2022-08-12 00:00:00+00:00,5.95,7.08,5.9,6.9,71177
2022-08-19 00:00:00+00:00,4.95,5.99,4.9,5.921,64692
2022-08-26 00:00:00+00:00,4.85,5.0019,4.66,4.95,49877
2022-09-02 00:00:00+00:00,4.4581,4.87,4.39,4.79,59336
2022-09-09 00:00:00+00:00,4.86,4.86,4.4,4.41,32269
2022-09-16 00:00:00+00:00,4.24,4.99,4.23,4.84,35625
2022-09-23 00:00:00+00:00,4.56,5.0,4.15,4.21,40366
2022-09-30 00:00:00+00:00,4.06,4.4875,3.99,4.4875,33402
2022-10-07 00:00:00+00:00,3.99,4.25,3.91,4.05,30963
2022-10-14 00:00:00+00:00,3.74,4.22,3.72,3.88,20569
2022-10-21 00:00:00+00:00,3.2,3.9,3.11,3.85,44660
