date,Close,High,Low,Open,Volume
2021-12-31 00:00:00+00:00,5.31,5.67,5.25,5.65,380060
2022-01-07 00:00:00+00:00,5.31,5.49,5.25,5.3,252000
2022-01-14 00:00:00+00:00,5.09,5.28,4.94,5.28,302130
2022-01-21 00:00:00+00:00,4.64,5.09,4.61,5.05,376986
2022-01-28 00:00:00+00:00,4.71,4.9,4.54,4.55,437819
2022-02-04 00:00:00+00:00,4.44,4.76,4.205,4.61,407721
2022-02-11 00:00:00+00:00,4.26,4.48,4.145,4.4,383544
2022-02-18 00:00:00+00:00,4.33,4.58,4.25,4.28,249315
2022-02-25 00:00:00+00:00,4.41,4.42,4.24,4.27,207931
2022-03-04 00:00:00+00:00,4.25,4.41,4.235,4.39,373844
2022-03-11 00:00:00+00:00,4.25,4.36,4.24,4.28,364719
2022-03-18 00:00:00+00:00,4.25,4.35,4.25,4.33,531438
2022-03-25 00:00:00+00:00,4.27,4.33,4.25,4.25,398295
2022-04-01 00:00:00+00:00,4.4,4.43,4.02,4.25,661421
2022-04-08 00:00:00+00:00,4.35,4.43,4.21,4.38,442982
2022-04-15 00:00:00+00:00,4.26,4.355,4.21,4.35,319385
2022-04-22 00:00:00+00:00,3.74,4.32,3.62,4.25,943690
2022-04-29 00:00:00+00:00,2.99,3.78,2.93,3.71,971900
2022-05-06 00:00:00+00:00,2.49,3.07,2.4601,3.03,872945
2022-05-13 00:00:00+00:00,3.15,3.34,2.45,2.46,1203043
2022-05-20 00:00:00+00:00,3.29,3.43,3.06,3.11,939915
2022-05-27 00:00:00+00:00,3.3,3.6,3.17,3.32,813543
2022-06-03 00:00:00+00:00,3.51,3.58,3.17,3.25,980727
2022-06-10 00:00:00+00:00,3.83,4.02,3.26,3.55,1173530
2022-06-17 00:00:00+00:00,3.81,3.92,3.71,3.71,1182325
2022-06-24 00:00:00+00:00,4.31,4.52,3.77,3.83,7465831
2022-07-01 00:00:00+00:00,4.14,4.39,3.85,4.33,651409
2022-07-08 00:00:00+00:00,4.11,4.33,3.91,4.18,503618
