date,Open,High,Low,Close,Volume
2025-09-16 13:30:00+00:00,2.56,2.565,2.535,2.535,2847.0
2025-09-16 13:45:00+00:00,2.535,2.55,2.535,2.545,130.0
2025-09-16 14:00:00+00:00,2.545,2.58,2.545,2.58,175.0
2025-09-16 14:15:00+00:00,2.575,2.615,2.57,2.595,3903.0
2025-09-16 14:30:00+00:00,2.595,2.605,2.575,2.575,2973.0
2025-09-16 14:45:00+00:00,2.575,2.575,2.57,2.575,950.0
2025-09-16 15:00:00+00:00,2.575,2.575,2.56,2.565,1865.0
2025-09-16 15:15:00+00:00,2.565,2.565,2.555,2.565,988.0
2025-09-16 15:30:00+00:00,2.565,2.57,2.56,2.565,1941.0
2025-09-16 15:45:00+00:00,2.565,2.565,2.56,2.565,19.0
2025-09-16 16:00:00+00:00,2.565,2.565,2.555,2.56,1759.0
2025-09-16 16:15:00+00:00,2.555,2.565,2.555,2.565,0.0
2025-09-16 16:30:00+00:00,2.565,2.57,2.565,2.565,950.0
2025-09-16 16:45:00+00:00,2.565,2.575,2.565,2.575,601.0
2025-09-16 17:00:00+00:00,2.575,2.575,2.57,2.575,0.0
2025-09-16 17:15:00+00:00,2.575,2.585,2.575,2.575,2438.0
2025-09-16 17:30:00+00:00,2.575,2.58,2.565,2.565,3408.0
2025-09-16 17:45:00+00:00,2.565,2.565,2.565,2.565,128.0
2025-09-16 18:00:00+00:00,2.565,2.565,2.565,2.565,299.0
2025-09-16 18:15:00+00:00,2.565,2.57,2.565,2.565,463.0
2025-09-16 18:30:00+00:00,2.56,2.575,2.56,2.575,2176.0
2025-09-16 18:45:00+00:00,2.575,2.58,2.575,2.58,1321.0
2025-09-16 19:00:00+00:00,2.575,2.585,2.575,2.58,2165.0
2025-09-16 19:15:00+00:00,2.58,2.59,2.58,2.585,1241.0
2025-09-16 19:30:00+00:00,2.585,2.585,2.58,2.585,526.0
2025-09-16 19:45:00+00:00,2.585,2.585,2.58,2.58,3617.0
2025-09-17 13:30:00+00:00,2.6,2.635,2.6,2.635,1219.0
2025-09-17 13:45:00+00:00,2.635,2.685,2.635,2.635,7967.0
2025-09-17 14:00:00+00:00,2.635,2.655,2.635,2.655,0.0
2025-09-17 14:15:00+00:00,2.655,2.655,2.625,2.625,305.0
2025-09-17 14:30:00+00:00,2.625,2.625,2.625,2.625,0.0
2025-09-17 14:45:00+00:00,2.625,2.625,2.62,2.625,569.0
2025-09-17 15:00:00+00:00,2.625,2.625,2.615,2.625,394.0
2025-09-17 15:15:00+00:00,2.625,2.625,2.615,2.615,936.0
2025-09-17 15:30:00+00:00,2.615,2.615,2.605,2.61,232.0
2025-09-17 15:45:00+00:00,2.615,2.615,2.615,2.615,200.0
2025-09-17 16:00:00+00:00,2.615,2.615,2.61,2.61,448.0
2025-09-17 16:15:00+00:00,2.615,2.615,2.61,2.615,1427.0
2025-09-17 16:30:00+00:00,2.61,2.615,2.61,2.615,1337.0
2025-09-17 16:45:00+00:00,2.615,2.615,2.6,2.6,2005.0
2025-09-17 17:00:00+00:00,2.605,2.605,2.6,2.605,150.0
2025-09-17 17:15:00+00:00,2.605,2.605,2.6,2.605,545.0
2025-09-17 17:30:00+00:00,2.6,2.605,2.6,2.6,328.0
2025-09-17 17:45:00+00:00,2.605,2.605,2.6,2.605,427.0
2025-09-17 18:00:00+00:00,2.61,2.625,2.585,2.585,1634.0
2025-09-17 18:15:00+00:00,2.585,2.6,2.575,2.595,3202.0
2025-09-17 18:30:00+00:00,2.595,2.6,2.57,2.575,1155.0
2025-09-17 18:45:00+00:00,2.575,2.58,2.555,2.58,847.0
2025-09-17 19:00:00+00:00,2.575,2.59,2.575,2.575,1395.0
2025-09-17 19:15:00+00:00,2.575,2.585,2.575,2.585,1200.0
2025-09-17 19:30:00+00:00,2.585,2.585,2.575,2.585,1763.0
2025-09-17 19:45:00+00:00,2.585,2.585,2.57,2.57,4834.0
2025-09-18 13:30:00+00:00,2.575,2.635,2.57,2.635,600.0
2025-09-18 13:45:00+00:00,2.63,2.645,2.615,2.645,519.0
2025-09-18 14:00:00+00:00,2.645,2.675,2.645,2.67,681.0
2025-09-18 14:15:00+00:00,2.67,2.675,2.655,2.655,1135.0
2025-09-18 14:30:00+00:00,2.655,2.675,2.655,2.655,3626.0
2025-09-18 14:45:00+00:00,2.655,2.665,2.65,2.665,1483.0
2025-09-18 15:00:00+00:00,2.665,2.675,2.665,2.675,259.0
2025-09-18 15:15:00+00:00,2.675,2.685,2.665,2.675,1196.0
2025-09-18 15:30:00+00:00,2.675,2.69,2.67,2.675,785.0
2025-09-18 15:45:00+00:00,2.675,2.68,2.65,2.665,965.0
2025-09-18 16:00:00+00:00,2.665,2.665,2.66,2.665,181.0
2025-09-18 16:15:00+00:00,2.665,2.665,2.655,2.655,1049.0
2025-09-18 16:30:00+00:00,2.655,2.655,2.655,2.655,178.0
2025-09-18 16:45:00+00:00,2.655,2.655,2.65,2.65,598.0
2025-09-18 17:00:00+00:00,2.655,2.655,2.65,2.655,556.0
2025-09-18 17:15:00+00:00,2.66,2.66,2.655,2.66,4140.0
2025-09-18 17:30:00+00:00,2.655,2.66,2.655,2.655,1314.0
2025-09-18 17:45:00+00:00,2.655,2.655,2.655,2.655,240.0
2025-09-18 18:00:00+00:00,2.655,2.71,2.655,2.68,8573.0
2025-09-18 18:15:00+00:00,2.685,2.69,2.675,2.675,291.0
2025-09-18 18:30:00+00:00,2.675,2.675,2.66,2.665,1133.0
2025-09-18 18:45:00+00:00,2.665,2.69,2.66,2.69,2581.0
2025-09-18 19:00:00+00:00,2.685,2.685,2.675,2.685,4914.0
2025-09-18 19:15:00+00:00,2.685,2.685,2.68,2.685,267.0
2025-09-18 19:30:00+00:00,2.685,2.685,2.675,2.685,5975.0
2025-09-18 19:45:00+00:00,2.685,2.685,2.67,2.675,36647.0
2025-09-19 13:30:00+00:00,2.69,2.705,2.67,2.675,1510.0
2025-09-19 13:45:00+00:00,2.675,2.685,2.665,2.675,1423.0
2025-09-19 14:00:00+00:00,2.675,2.675,2.66,2.66,1351.0
2025-09-19 14:15:00+00:00,2.665,2.675,2.665,2.665,1118.0
2025-09-19 14:30:00+00:00,2.665,2.665,2.645,2.645,1419.0
2025-09-19 14:45:00+00:00,2.645,2.645,2.63,2.635,218.0
2025-09-19 15:00:00+00:00,2.635,2.645,2.63,2.645,519.0
2025-09-19 15:15:00+00:00,2.645,2.645,2.64,2.645,700.0
2025-09-19 15:30:00+00:00,2.645,2.655,2.635,2.645,800.0
2025-09-19 15:45:00+00:00,2.645,2.655,2.645,2.65,6000.0
2025-09-19 16:00:00+00:00,2.65,2.655,2.65,2.65,300.0
2025-09-19 16:15:00+00:00,2.655,2.655,2.65,2.655,500.0
2025-09-19 16:30:00+00:00,2.655,2.655,2.655,2.655,0.0
2025-09-19 16:45:00+00:00,2.655,2.655,2.645,2.645,0.0
2025-09-19 17:00:00+00:00,2.645,2.655,2.645,2.645,458.0
2025-09-19 17:15:00+00:00,2.645,2.65,2.645,2.645,178.0
2025-09-19 17:30:00+00:00,2.645,2.65,2.64,2.64,93.0
2025-09-19 17:45:00+00:00,2.64,2.645,2.635,2.635,138.0
2025-09-19 18:00:00+00:00,2.635,2.635,2.63,2.635,17.0
2025-09-19 18:15:00+00:00,2.635,2.635,2.625,2.63,121.0
2025-09-19 18:30:00+00:00,2.625,2.625,2.625,2.625,0.0
2025-09-19 18:45:00+00:00,2.625,2.625,2.625,2.625,204.0
2025-09-19 19:00:00+00:00,2.625,2.625,2.625,2.625,0.0
2025-09-19 19:15:00+00:00,2.625,2.64,2.625,2.64,5061.0
2025-09-19 19:30:00+00:00,2.635,2.66,2.635,2.66,7107.0
2025-09-19 19:45:00+00:00,2.655,2.66,2.625,2.625,12596.0
2025-09-22 13:30:00+00:00,2.62,2.64,2.595,2.595,1023.0
2025-09-22 13:45:00+00:00,2.595,2.625,2.595,2.615,2096.0
2025-09-22 14:00:00+00:00,2.615,2.62,2.605,2.605,2441.0
2025-09-22 14:15:00+00:00,2.605,2.625,2.605,2.605,1917.0
2025-09-22 14:30:00+00:00,2.605,2.615,2.6,2.605,2968.0
2025-09-22 14:45:00+00:00,2.605,2.615,2.6,2.605,2704.0
2025-09-22 15:00:00+00:00,2.605,2.605,2.595,2.595,1012.0
2025-09-22 15:15:00+00:00,2.595,2.605,2.595,2.605,3031.0
2025-09-22 15:30:00+00:00,2.605,2.605,2.59,2.6,1524.0
2025-09-22 15:45:00+00:00,2.595,2.605,2.595,2.6,3366.0
2025-09-22 16:00:00+00:00,2.6,2.6,2.59,2.595,2939.0
2025-09-22 16:15:00+00:00,2.595,2.595,2.59,2.59,2985.0
2025-09-22 16:30:00+00:00,2.595,2.595,2.585,2.595,327.0
2025-09-22 16:45:00+00:00,2.595,2.595,2.585,2.585,3631.0
2025-09-22 17:00:00+00:00,2.585,2.6,2.585,2.595,12982.0
2025-09-22 17:15:00+00:00,2.595,2.605,2.595,2.605,40.0
2025-09-22 17:30:00+00:00,2.605,2.615,2.605,2.615,3497.0
2025-09-22 17:45:00+00:00,2.615,2.615,2.61,2.615,1045.0
2025-09-22 18:00:00+00:00,2.615,2.615,2.61,2.615,476.0
2025-09-22 18:15:00+00:00,2.615,2.615,2.61,2.615,455.0
2025-09-22 18:30:00+00:00,2.615,2.625,2.61,2.615,1433.0
2025-09-22 18:45:00+00:00,2.615,2.615,2.615,2.615,435.0
2025-09-22 19:00:00+00:00,2.615,2.63,2.61,2.61,4337.0
2025-09-22 19:15:00+00:00,2.615,2.615,2.59,2.595,11071.0
2025-09-22 19:30:00+00:00,2.595,2.595,2.59,2.595,1445.0
2025-09-22 19:45:00+00:00,2.595,2.595,2.58,2.595,11128.0
2025-09-23 13:30:00+00:00,2.605,2.62,2.59,2.615,180.0
2025-09-23 13:45:00+00:00,2.625,2.665,2.615,2.65,2953.0
2025-09-23 14:00:00+00:00,2.655,2.665,2.63,2.635,5502.0
2025-09-23 14:15:00+00:00,2.635,2.645,2.625,2.645,4009.0
2025-09-23 14:30:00+00:00,2.645,2.645,2.625,2.635,1334.0
2025-09-23 14:45:00+00:00,2.63,2.65,2.625,2.65,1704.0
2025-09-23 15:00:00+00:00,2.645,2.655,2.645,2.645,2764.0
2025-09-23 15:15:00+00:00,2.645,2.645,2.635,2.645,2253.0
2025-09-23 15:30:00+00:00,2.645,2.655,2.645,2.655,5499.0
2025-09-23 15:45:00+00:00,2.655,2.655,2.63,2.635,1597.0
2025-09-23 16:00:00+00:00,2.635,2.655,2.625,2.645,11921.0
2025-09-23 16:15:00+00:00,2.645,2.645,2.635,2.635,6214.0
2025-09-23 16:30:00+00:00,2.635,2.64,2.625,2.635,5202.0
2025-09-23 16:45:00+00:00,2.635,2.655,2.635,2.655,7479.0
2025-09-23 17:00:00+00:00,2.655,2.66,2.655,2.655,728.0
2025-09-23 17:15:00+00:00,2.655,2.655,2.645,2.655,1136.0
2025-09-23 17:30:00+00:00,2.655,2.655,2.635,2.635,1993.0
2025-09-23 17:45:00+00:00,2.635,2.635,2.625,2.635,1757.0
2025-09-23 18:00:00+00:00,2.635,2.635,2.62,2.62,4937.0
2025-09-23 18:15:00+00:00,2.625,2.625,2.61,2.61,2720.0
2025-09-23 18:30:00+00:00,2.615,2.62,2.61,2.615,4768.0
2025-09-23 18:45:00+00:00,2.615,2.625,2.605,2.605,8851.0
2025-09-23 19:00:00+00:00,2.605,2.615,2.595,2.595,2886.0
2025-09-23 19:15:00+00:00,2.6,2.61,2.6,2.6,8084.0
2025-09-23 19:30:00+00:00,2.6,2.605,2.6,2.6,3671.0
2025-09-23 19:45:00+00:00,2.605,2.635,2.595,2.635,11089.0
2025-09-24 13:30:00+00:00,2.635,2.695,2.63,2.695,3128.0
2025-09-24 13:45:00+00:00,2.695,2.695,2.655,2.675,700.0
2025-09-24 14:00:00+00:00,2.675,2.695,2.665,2.67,1544.0
2025-09-24 14:15:00+00:00,2.67,2.705,2.665,2.69,367.0
2025-09-24 14:30:00+00:00,2.695,2.705,2.685,2.695,3934.0
2025-09-24 14:45:00+00:00,2.695,2.715,2.695,2.715,1858.0
2025-09-24 15:00:00+00:00,2.715,2.745,2.715,2.72,1626.0
2025-09-24 15:15:00+00:00,2.725,2.76,2.725,2.745,9473.0
2025-09-24 15:30:00+00:00,2.745,2.75,2.725,2.73,7603.0
2025-09-24 15:45:00+00:00,2.735,2.745,2.715,2.715,839.0
2025-09-24 16:00:00+00:00,2.715,2.745,2.715,2.725,1724.0
2025-09-24 16:15:00+00:00,2.725,2.74,2.725,2.74,122.0
2025-09-24 16:30:00+00:00,2.735,2.745,2.735,2.745,736.0
