date,Open,High,Low,Close,Volume
2025-09-16 13:30:00+00:00,54.66,54.965,54.615,54.725,100.0
2025-09-16 13:45:00+00:00,54.735,54.865,54.635,54.785,671.0
2025-09-16 14:00:00+00:00,54.58,54.915,54.565,54.845,246.0
2025-09-16 14:15:00+00:00,54.835,55.145,54.735,55.135,0.0
2025-09-16 14:30:00+00:00,55.135,55.935,55.055,55.475,400.0
2025-09-16 14:45:00+00:00,55.475,55.68,55.205,55.355,900.0
2025-09-16 15:00:00+00:00,55.355,55.46,55.095,55.455,347.0
2025-09-16 15:15:00+00:00,55.45,55.545,55.345,55.47,134.0
2025-09-16 15:30:00+00:00,55.495,55.525,55.255,55.285,109.0
2025-09-16 15:45:00+00:00,55.305,55.51,55.305,55.445,0.0
2025-09-16 16:00:00+00:00,55.445,55.535,55.415,55.455,100.0
2025-09-16 16:15:00+00:00,55.475,55.805,55.465,55.735,100.0
2025-09-16 16:30:00+00:00,55.715,55.815,55.625,55.795,200.0
2025-09-16 16:45:00+00:00,55.795,56.135,55.795,56.055,200.0
2025-09-16 17:00:00+00:00,56.065,56.135,55.935,56.135,200.0
2025-09-16 17:15:00+00:00,56.135,56.245,56.09,56.145,400.0
2025-09-16 17:30:00+00:00,56.145,56.38,56.125,56.28,101.0
2025-09-16 17:45:00+00:00,56.285,56.395,56.27,56.385,105.0
2025-09-16 18:00:00+00:00,56.375,56.455,56.27,56.425,100.0
2025-09-16 18:15:00+00:00,56.46,56.46,56.315,56.325,0.0
2025-09-16 18:30:00+00:00,56.325,56.445,56.32,56.335,0.0
2025-09-16 18:45:00+00:00,56.345,56.43,56.345,56.43,0.0
2025-09-16 19:00:00+00:00,56.43,56.525,56.375,56.525,88.0
2025-09-16 19:15:00+00:00,56.53,56.535,56.37,56.37,200.0
2025-09-16 19:30:00+00:00,56.33,56.395,56.31,56.31,88.0
2025-09-16 19:45:00+00:00,56.31,56.395,56.195,56.195,440.0
2025-09-17 13:30:00+00:00,58.73,58.745,58.275,58.595,601.0
2025-09-17 13:45:00+00:00,58.675,59.235,58.565,59.205,1302.0
2025-09-17 14:00:00+00:00,59.2,59.265,58.915,59.075,1811.0
