date,Close,High,Low,Open,Volume
2021-12-31 00:00:00+00:00,9.72,9.72,9.72,9.72,1105
2022-01-07 00:00:00+00:00,9.72,9.72,9.71,9.71,61733
2022-01-14 00:00:00+00:00,9.73,9.73,9.71,9.71,17346
2022-01-21 00:00:00+00:00,9.705,9.73,9.7,9.72,315220
2022-01-28 00:00:00+00:00,9.67,9.71,9.67,9.69,17029
2022-02-04 00:00:00+00:00,9.7,9.71,9.7,9.7,14199
2022-02-11 00:00:00+00:00,9.71,9.725,9.7,9.7,699948
2022-02-18 00:00:00+00:00,9.72,9.72,9.7,9.705,4727
2022-02-25 00:00:00+00:00,9.7,9.72,9.7,9.72,962
2022-03-04 00:00:00+00:00,9.74,9.77,9.71,9.715,203638
2022-03-11 00:00:00+00:00,9.75,9.75,9.7,9.7,164708
2022-03-18 00:00:00+00:00,9.76,9.76,9.74,9.75,140618
2022-03-25 00:00:00+00:00,9.77,9.77,9.75,9.76,73239
2022-04-01 00:00:00+00:00,9.78,9.78,9.75,9.76,68131
2022-04-08 00:00:00+00:00,9.81,9.81,9.76,9.76,22843
2022-04-15 00:00:00+00:00,9.8,9.81,9.78,9.79,92090
2022-04-22 00:00:00+00:00,9.81,9.83,9.7901,9.8,103317
2022-04-29 00:00:00+00:00,9.8,9.83,9.8,9.82,150516
2022-05-06 00:00:00+00:00,9.82,9.83,9.8,9.82,294215
2022-05-13 00:00:00+00:00,9.79,9.8,9.7801,9.8,59941
2022-05-20 00:00:00+00:00,9.79,9.79,9.79,9.79,77
2022-05-27 00:00:00+00:00,9.79,9.79,9.79,9.79,58
2022-06-03 00:00:00+00:00,9.79,9.795,9.76,9.79,369321
2022-06-10 00:00:00+00:00,9.7901,9.7901,9.79,9.79,448
2022-06-17 00:00:00+00:00,9.7867,9.7901,9.77,9.7901,24868
2022-06-24 00:00:00+00:00,9.8,9.8,9.7867,9.7867,673
2022-07-01 00:00:00+00:00,9.8,9.81,9.79,9.8,318023
2022-07-08 00:00:00+00:00,9.81,9.81,9.79,9.8,554197
2022-07-15 00:00:00+00:00,9.82,9.82,9.8,9.81,121487
2022-07-22 00:00:00+00:00,9.81,9.82,9.8,9.81,159274
2022-07-29 00:00:00+00:00,9.84,9.84,9.825,9.825,3846
2022-08-05 00:00:00+00:00,9.855,9.86,9.82,9.83,1151768
2022-08-12 00:00:00+00:00,9.87,9.87,9.85,9.86,336158
2022-08-19 00:00:00+00:00,9.87,9.9,9.85,9.87,249503
2022-08-26 00:00:00+00:00,9.88,9.895,9.86,9.865,187620
2022-09-02 00:00:00+00:00,9.89,9.89,9.87,9.88,5714
2022-09-09 00:00:00+00:00,9.88,9.9,9.87,9.87,41409
2022-09-16 00:00:00+00:00,9.89,9.9,9.885,9.89,169257
2022-09-23 00:00:00+00:00,9.92,9.94,9.9,9.94,255302
2022-09-30 00:00:00+00:00,9.92,9.93,9.9,9.905,918249
2022-10-07 00:00:00+00:00,9.935,9.935,9.91,9.92,120754
2022-10-14 00:00:00+00:00,9.935,9.95,9.92,9.95,230737
2022-10-21 00:00:00+00:00,9.95,9.97,9.93,9.97,710098
2022-10-28 00:00:00+00:00,9.985,9.99,9.96,9.96,477688
2022-11-04 00:00:00+00:00,10.0,10.0,9.96,10.0,362497
2022-11-11 00:00:00+00:00,10.015,10.015,9.99,9.99,5276
2022-11-18 00:00:00+00:00,10.01,10.015,10.0,10.01,142486
2022-11-25 00:00:00+00:00,10.01,10.03,10.01,10.01,471720
2022-12-02 00:00:00+00:00,10.03,10.04,10.02,10.02,468079
2022-12-09 00:00:00+00:00,10.06,10.06,10.04,10.04,251104
2022-12-16 00:00:00+00:00,10.06,10.07,10.05,10.05,745800
2022-12-23 00:00:00+00:00,10.08,10.08,10.06,10.06,60386
2022-12-30 00:00:00+00:00,10.09,10.1,10.08,10.085,30052
2023-01-06 00:00:00+00:00,10.11,10.115,10.08,10.08,1629719
2023-01-13 00:00:00+00:00,10.14,10.14,10.12,10.12,1241234
2023-01-20 00:00:00+00:00,10.145,10.15,10.14,10.15,806780
2023-01-27 00:00:00+00:00,10.1515,10.1515,10.14,10.14,1282517
2023-02-03 00:00:00+00:00,10.16,10.18,10.155,10.155,4610697
2023-02-10 00:00:00+00:00,10.17,10.175,10.16,10.17,24545
2023-02-17 00:00:00+00:00,10.2,10.2,10.17,10.17,259076
2023-02-24 00:00:00+00:00,10.19,10.2,10.19,10.19,1406552
2023-03-03 00:00:00+00:00,10.2065,10.21,10.19,10.195,117894
2023-03-10 00:00:00+00:00,10.2,10.21,10.2,10.21,60987
