date,Open,High,Low,Close,Volume
2023-12-14 17:00:00+00:00,6.76,6.765,6.75,6.75,100.0
2023-12-15 17:00:00+00:00,6.75,6.75,6.625,6.625,500.0
2023-12-18 17:00:00+00:00,6.635,6.635,6.61,6.615,103.0
2023-12-19 17:00:00+00:00,6.655,6.655,6.62,6.62,500.0
2023-12-20 17:00:00+00:00,6.615,6.62,6.56,6.56,86.0
2023-12-21 17:00:00+00:00,6.56,6.57,6.55,6.55,489.0
2023-12-22 17:00:00+00:00,6.68,6.68,6.68,6.68,0.0
2023-12-25 17:00:00+00:00,6.68,6.68,6.68,6.68,0.0
2023-12-26 17:00:00+00:00,6.665,6.665,6.665,6.665,0.0
2023-12-27 17:00:00+00:00,6.63,6.67,6.63,6.665,513.0
2023-12-28 17:00:00+00:00,6.64,6.64,6.63,6.63,0.0
2023-12-29 17:00:00+00:00,6.63,6.66,6.63,6.66,26.0
2024-01-01 17:00:00+00:00,6.66,6.66,6.66,6.66,0.0
2024-01-02 17:00:00+00:00,6.66,6.71,6.66,6.7,300.0
2024-01-03 17:00:00+00:00,6.7,6.7,6.68,6.685,900.0
2024-01-04 17:00:00+00:00,6.655,6.66,6.65,6.65,418.0
2024-01-05 17:00:00+00:00,6.655,6.655,6.61,6.61,463.0
2024-01-08 17:00:00+00:00,6.61,6.675,6.61,6.675,300.0
2024-01-09 17:00:00+00:00,6.67,6.675,6.67,6.675,68.0
2024-01-10 17:00:00+00:00,6.69,6.7,6.69,6.69,400.0
2024-01-11 17:00:00+00:00,6.66,6.66,6.605,6.62,400.0
2024-01-12 17:00:00+00:00,6.64,6.66,6.64,6.64,201.0
2024-01-15 17:00:00+00:00,6.64,6.64,6.64,6.64,0.0
2024-01-16 17:00:00+00:00,6.63,6.63,6.595,6.595,299.0
2024-01-17 17:00:00+00:00,6.595,6.595,6.49,6.5,582.0
2024-01-18 17:00:00+00:00,6.48,6.48,6.41,6.435,743.0
2024-01-19 17:00:00+00:00,6.43,6.44,6.41,6.425,836.0
2024-01-22 17:00:00+00:00,6.46,6.46,6.44,6.455,0.0
2024-01-23 17:00:00+00:00,6.42,6.45,6.42,6.445,300.0
2024-01-24 17:00:00+00:00,6.445,6.46,6.435,6.45,407.0
2024-01-25 17:00:00+00:00,6.47,6.475,6.46,6.47,102.0
2024-01-26 17:00:00+00:00,6.49,6.49,6.465,6.47,500.0
2024-01-29 17:00:00+00:00,6.51,6.55,6.51,6.53,1555.0
2024-01-30 17:00:00+00:00,6.54,6.55,6.54,6.54,0.0
2024-01-31 17:00:00+00:00,6.54,6.565,6.54,6.54,0.0
2024-02-01 17:00:00+00:00,6.54,6.64,6.54,6.635,5.0
2024-02-02 17:00:00+00:00,6.635,6.635,6.545,6.545,1573.0
2024-02-05 17:00:00+00:00,6.545,6.545,6.49,6.5,475.0
2024-02-06 17:00:00+00:00,6.5,6.52,6.5,6.5,68.0
2024-02-07 17:00:00+00:00,6.5,6.535,6.5,6.535,0.0
2024-02-08 17:00:00+00:00,6.535,6.535,6.49,6.49,163.0
2024-02-09 17:00:00+00:00,6.49,6.545,6.49,6.545,0.0
2024-02-12 17:00:00+00:00,6.58,6.62,6.57,6.585,974.0
2024-02-13 17:00:00+00:00,6.525,6.53,6.48,6.51,2669.0
2024-02-14 17:00:00+00:00,6.5,6.52,6.495,6.51,548.0
2024-02-15 17:00:00+00:00,6.56,6.56,6.52,6.52,786.0
2024-02-16 17:00:00+00:00,6.465,6.48,6.465,6.47,500.0
2024-02-19 17:00:00+00:00,6.47,6.47,6.47,6.47,0.0
2024-02-20 17:00:00+00:00,6.47,6.48,6.45,6.46,315.0
2024-02-21 17:00:00+00:00,6.46,6.485,6.46,6.48,300.0
2024-02-22 17:00:00+00:00,6.5,6.5,6.46,6.465,149.0
2024-02-23 17:00:00+00:00,6.53,6.53,6.48,6.485,632.0
2024-02-26 17:00:00+00:00,6.445,6.445,6.41,6.41,1428.0
