date,Open,High,Low,Close,Volume
2025-02-18 15:00:00+00:00,6.5,6.645,6.5,6.625,61.0
2025-02-18 16:00:00+00:00,6.625,6.625,6.58,6.58,265.0
2025-02-18 17:00:00+00:00,6.58,6.58,6.555,6.555,18.0
2025-02-18 18:00:00+00:00,6.555,6.555,6.555,6.555,0.0
2025-02-18 19:00:00+00:00,6.555,6.605,6.545,6.605,0.0
2025-02-18 20:00:00+00:00,6.605,6.605,6.54,6.555,1395.0
2025-02-19 15:00:00+00:00,6.56,6.58,6.56,6.58,100.0
2025-02-19 16:00:00+00:00,6.58,6.58,6.58,6.58,0.0
2025-02-19 17:00:00+00:00,6.58,6.58,6.525,6.525,210.0
2025-02-19 18:00:00+00:00,6.525,6.525,6.48,6.48,1.0
2025-02-19 19:00:00+00:00,6.48,6.55,6.43,6.55,401.0
2025-02-19 20:00:00+00:00,6.55,6.58,6.5,6.58,2748.0
2025-02-20 15:00:00+00:00,6.58,6.58,6.58,6.58,0.0
2025-02-20 16:00:00+00:00,6.58,6.58,6.58,6.58,0.0
2025-02-20 17:00:00+00:00,6.58,6.58,6.56,6.56,247.0
2025-02-20 18:00:00+00:00,6.56,6.56,6.55,6.56,2698.0
2025-02-20 19:00:00+00:00,6.535,6.56,6.51,6.545,990.0
2025-02-20 20:00:00+00:00,6.545,6.56,6.53,6.545,8999.0
2025-02-21 15:00:00+00:00,6.545,6.545,6.545,6.545,0.0
2025-02-21 16:00:00+00:00,6.545,6.545,6.545,6.545,0.0
2025-02-21 17:00:00+00:00,6.545,6.545,6.545,6.545,0.0
2025-02-21 18:00:00+00:00,6.545,6.545,6.42,6.42,374.0
2025-02-21 19:00:00+00:00,6.42,6.425,6.41,6.41,200.0
2025-02-21 20:00:00+00:00,6.41,6.44,6.38,6.385,2.0
2025-02-24 15:00:00+00:00,6.385,6.385,6.19,6.275,300.0
2025-02-24 16:00:00+00:00,6.275,6.305,6.275,6.3,15.0
2025-02-24 17:00:00+00:00,6.3,6.34,6.28,6.34,218.0
2025-02-24 18:00:00+00:00,6.34,6.34,6.32,6.32,100.0
2025-02-24 19:00:00+00:00,6.32,6.325,6.26,6.27,1615.0
2025-02-24 20:00:00+00:00,6.27,6.29,6.19,6.29,3697.0
2025-02-25 15:00:00+00:00,6.29,6.29,6.29,6.29,0.0
2025-02-25 16:00:00+00:00,6.29,6.29,6.02,6.02,241.0
2025-02-25 17:00:00+00:00,6.02,6.07,5.99,6.07,100.0
2025-02-25 18:00:00+00:00,6.07,6.07,6.03,6.065,757.0
