date,Open,High,Low,Close,Volume
2025-02-18 15:00:00+00:00,53.86,53.86,53.86,53.86,1.0
2025-02-18 16:00:00+00:00,53.86,53.86,53.86,53.86,0.0
2025-02-18 17:00:00+00:00,53.86,53.86,53.77,53.77,1.0
2025-02-18 18:00:00+00:00,53.77,53.77,53.77,53.77,0.0
2025-02-18 19:00:00+00:00,53.77,53.77,53.77,53.77,0.0
2025-02-18 20:00:00+00:00,53.77,53.8,53.77,53.8,1.0
2025-02-19 15:00:00+00:00,53.8,53.8,53.8,53.8,0.0
2025-02-19 16:00:00+00:00,53.8,53.8,53.8,53.8,0.0
2025-02-19 17:00:00+00:00,53.8,53.8,53.8,53.8,0.0
2025-02-19 18:00:00+00:00,53.8,53.8,53.8,53.8,0.0
2025-02-19 19:00:00+00:00,53.8,53.8,53.8,53.8,0.0
2025-02-19 20:00:00+00:00,53.8,53.91,53.8,53.91,182.0
2025-02-20 15:00:00+00:00,53.91,53.91,53.45,53.45,1.0
2025-02-20 16:00:00+00:00,53.45,53.45,53.28,53.28,25.0
2025-02-20 17:00:00+00:00,53.28,53.28,53.28,53.28,0.0
2025-02-20 18:00:00+00:00,53.28,53.28,53.28,53.28,0.0
2025-02-20 19:00:00+00:00,53.28,53.28,53.28,53.28,0.0
2025-02-20 20:00:00+00:00,53.28,53.28,53.28,53.28,0.0
2025-02-21 15:00:00+00:00,53.36,53.36,53.36,53.36,0.0
2025-02-21 16:00:00+00:00,53.36,53.36,53.36,53.36,0.0
2025-02-21 17:00:00+00:00,53.36,53.36,53.36,53.36,0.0
2025-02-21 18:00:00+00:00,53.36,53.36,52.44,52.44,2.0
2025-02-21 19:00:00+00:00,52.44,52.44,52.44,52.44,0.0
2025-02-21 20:00:00+00:00,52.44,52.44,52.44,52.44,0.0
2025-02-24 15:00:00+00:00,51.77,51.77,51.66,51.66,2.0
2025-02-24 16:00:00+00:00,51.66,51.66,51.66,51.66,0.0
2025-02-24 17:00:00+00:00,51.66,51.66,51.66,51.66,0.0
2025-02-24 18:00:00+00:00,51.66,52.08,51.66,52.08,2.0
2025-02-24 19:00:00+00:00,52.08,52.08,52.08,52.08,0.0
2025-02-24 20:00:00+00:00,52.08,52.08,51.82,51.82,1.0
2025-02-25 15:00:00+00:00,51.82,51.82,51.82,51.82,0.0
2025-02-25 16:00:00+00:00,51.82,51.82,51.82,51.82,0.0
2025-02-25 17:00:00+00:00,51.82,51.82,51.41,51.41,1.0
2025-02-25 18:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-25 19:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-25 20:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-26 15:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-26 16:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-26 17:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-26 18:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-26 19:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-26 20:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-27 15:00:00+00:00,51.41,51.41,51.41,51.41,0.0
2025-02-27 16:00:00+00:00,51.41,51.73,51.41,51.72,22.0
2025-02-27 17:00:00+00:00,51.72,51.72,51.72,51.72,0.0
2025-02-27 18:00:00+00:00,51.72,51.72,51.72,51.72,0.0
2025-02-27 19:00:00+00:00,51.72,51.72,51.72,51.72,0.0
2025-02-27 20:00:00+00:00,51.72,51.72,51.72,51.72,0.0
2025-02-28 15:00:00+00:00,50.88,50.88,50.88,50.88,0.0
2025-02-28 16:00:00+00:00,50.88,50.88,50.88,50.88,0.0
2025-02-28 17:00:00+00:00,50.88,50.88,50.88,50.88,0.0
2025-02-28 18:00:00+00:00,50.88,50.88,50.88,50.88,0.0
2025-02-28 19:00:00+00:00,50.88,50.88,50.88,50.88,0.0
2025-02-28 20:00:00+00:00,50.88,50.88,50.88,50.88,0.0
2025-03-03 15:00:00+00:00,50.88,50.88,50.88,50.88,0.0
