date,Open,High,Low,Close,Volume
2023-12-14 17:00:00+00:00,32.93,33.07,31.89,32.95,6434.0
2023-12-15 17:00:00+00:00,33.25,33.29,32.115,32.32,3118.0
2023-12-18 17:00:00+00:00,31.21,31.665,30.42,30.57,6035.0
2023-12-19 17:00:00+00:00,30.52,31.41,30.455,31.16,8218.0
2023-12-20 17:00:00+00:00,33.2,33.46,30.87,30.93,2726.0
2023-12-21 17:00:00+00:00,31.86,31.98,31.55,31.57,2649.0
2023-12-22 17:00:00+00:00,31.66,32.68,31.66,31.955,3251.0
2023-12-25 17:00:00+00:00,31.955,31.955,31.955,31.955,0.0
2023-12-26 17:00:00+00:00,32.28,32.935,32.185,32.65,6906.0
2023-12-27 17:00:00+00:00,32.96,33.21,32.2,32.4,3282.0
2023-12-28 17:00:00+00:00,32.35,32.81,32.35,32.77,2060.0
2023-12-29 17:00:00+00:00,32.215,32.39,31.7,32.16,5340.0
2024-01-01 17:00:00+00:00,32.16,32.16,32.16,32.16,0.0
2024-01-02 17:00:00+00:00,32.43,32.755,31.75,31.9,1243.0
2024-01-03 17:00:00+00:00,30.8,31.2,30.22,30.22,3581.0
2024-01-04 17:00:00+00:00,30.02,30.055,29.375,29.425,1614.0
2024-01-05 17:00:00+00:00,29.12,29.13,28.54,28.635,3160.0
2024-01-08 17:00:00+00:00,29.0,29.06,28.54,28.62,3845.0
2024-01-09 17:00:00+00:00,28.46,28.885,28.06,28.45,5012.0
2024-01-10 17:00:00+00:00,28.83,29.695,28.83,29.08,7039.0
2024-01-11 17:00:00+00:00,27.79,28.46,27.48,28.245,4142.0
2024-01-12 17:00:00+00:00,28.275,28.35,27.89,27.955,2609.0
2024-01-15 17:00:00+00:00,27.955,27.955,27.955,27.955,0.0
2024-01-16 17:00:00+00:00,27.57,27.87,27.45,27.815,4397.0
2024-01-17 17:00:00+00:00,27.32,27.34,26.58,26.65,10480.0
2024-01-18 17:00:00+00:00,26.45,27.55,26.45,27.54,3791.0
2024-01-19 17:00:00+00:00,27.235,28.305,27.2,28.27,3811.0
