date,Close,High,Low,Open,Volume
2021-12-31 00:00:00+00:00,10.26,12.54,9.945,11.1,2336413
2022-01-07 00:00:00+00:00,8.76,10.89,8.64,10.26,1175111
2022-01-14 00:00:00+00:00,8.04,9.21,7.77,8.7,2007848
2022-01-21 00:00:00+00:00,6.51,7.83,6.39,7.8,1146979
2022-01-28 00:00:00+00:00,6.03,7.095,5.565,6.27,1461088
2022-02-04 00:00:00+00:00,6.81,7.2003,5.94,6.06,1138915
2022-02-11 00:00:00+00:00,6.93,7.95,6.84,6.9747,911155
2022-02-18 00:00:00+00:00,6.42,7.71,6.345,6.99,595167
2022-02-25 00:00:00+00:00,6.81,6.87,5.52,6.09,561961
2022-03-04 00:00:00+00:00,6.03,7.1097,5.97,6.72,550826
2022-03-11 00:00:00+00:00,6.06,6.75,5.85,6.06,601610
2022-03-18 00:00:00+00:00,7.38,7.53,5.52,6.12,525872
2022-03-25 00:00:00+00:00,8.88,9.06,6.75,7.41,1891496
2022-04-01 00:00:00+00:00,8.64,9.36,8.3082,8.94,811147
2022-04-08 00:00:00+00:00,7.62,9.42,7.56,8.7,594230
2022-04-15 00:00:00+00:00,6.93,7.74,6.87,7.53,392928
2022-04-22 00:00:00+00:00,5.73,6.99,5.64,6.81,657616
2022-04-29 00:00:00+00:00,5.64,6.0,5.31,5.7,365534
2022-05-06 00:00:00+00:00,5.37,6.33,5.205,5.58,491532
2022-05-13 00:00:00+00:00,3.345,5.25,2.55,5.25,1576855
2022-05-20 00:00:00+00:00,3.48,3.84,3.15,3.27,515359
2022-05-27 00:00:00+00:00,3.57,3.6,3.03,3.54,444569
2022-06-03 00:00:00+00:00,4.05,4.29,3.63,3.99,398908
2022-06-10 00:00:00+00:00,3.45,4.2,3.36,4.05,250161
2022-06-17 00:00:00+00:00,2.58,4.23,2.4,3.24,1939438
2022-06-24 00:00:00+00:00,2.85,2.904,2.49,2.6997,584023
2022-07-01 00:00:00+00:00,2.6238,3.0,2.43,2.85,870776
2022-07-08 00:00:00+00:00,2.76,2.88,2.538,2.64,239824
2022-07-15 00:00:00+00:00,2.5206,2.763,2.4528,2.7627,280961
2022-07-22 00:00:00+00:00,3.09,3.3,2.55,2.55,761341
2022-07-29 00:00:00+00:00,3.03,3.1383,2.700303,3.03,334678
2022-08-05 00:00:00+00:00,3.54,3.57,2.91,2.94,392107
2022-08-12 00:00:00+00:00,4.02,4.32,3.6,3.72,443797
2022-08-19 00:00:00+00:00,3.63,4.08,3.51,3.9,716864
2022-08-26 00:00:00+00:00,3.42,3.72,3.36,3.48,221170
2022-09-02 00:00:00+00:00,3.21,3.48,3.21,3.42,164923
2022-09-09 00:00:00+00:00,3.57,3.69,3.09,3.24,223522
2022-09-16 00:00:00+00:00,2.9223,3.66,2.9031,3.54,242723
2022-09-23 00:00:00+00:00,2.6097,2.97,2.4867,2.922,233504
2022-09-30 00:00:00+00:00,2.76,2.8797,2.52,2.52,190924
2022-10-07 00:00:00+00:00,2.7285,3.06,2.5404,2.7876,212780
2022-10-14 00:00:00+00:00,2.4189,2.7714,2.406,2.67,192606
2022-10-21 00:00:00+00:00,2.3901,2.6091,2.175,2.4471,377099
2022-10-28 00:00:00+00:00,2.3103,2.6097,2.28,2.46,484650
2022-11-04 00:00:00+00:00,2.172,2.4,2.0664,2.3394,278613
2022-11-11 00:00:00+00:00,2.052603,2.2476,1.8615,2.1663,277858
2022-11-18 00:00:00+00:00,1.8,2.145,1.7853,2.145,298777
2022-11-25 00:00:00+00:00,1.9647,1.9647,1.734,1.8048,130227
2022-12-02 00:00:00+00:00,1.8363,1.947,1.6668,1.947,187856
2022-12-09 00:00:00+00:00,1.7403,1.86,1.6899,1.8363,203317
2022-12-16 00:00:00+00:00,1.5,1.83,1.4796,1.7265,418325
2022-12-23 00:00:00+00:00,1.35,1.5294,1.320303,1.5,738955
2022-12-30 00:00:00+00:00,1.5879,1.68,1.2114,1.335,550979
2023-01-06 00:00:00+00:00,1.8387,1.89,1.6053,1.6371,144689
2023-01-13 00:00:00+00:00,2.5185,2.7,1.8606,1.89,351615
2023-01-20 00:00:00+00:00,2.4,2.7,2.16,2.5611,190020
2023-01-27 00:00:00+00:00,2.373,2.4585,1.98,2.34,186547
2023-02-03 00:00:00+00:00,2.55,2.85,2.25,2.4,215852
2023-02-10 00:00:00+00:00,2.3406,2.76,2.34,2.5308,187239
2023-02-17 00:00:00+00:00,2.2878,2.55,2.2809,2.52,166774
2023-02-24 00:00:00+00:00,2.0412,2.3535,2.04,2.3535,117726
2023-03-03 00:00:00+00:00,2.01,2.13,1.9236,2.1,129750
2023-03-10 00:00:00+00:00,1.62,2.1,1.554,1.9716,124330
2023-03-17 00:00:00+00:00,1.74,1.9197,1.65,1.65,161378
2023-03-24 00:00:00+00:00,1.92,1.98,1.653,1.77,178587
2023-03-31 00:00:00+00:00,1.9713,2.07,1.8,1.89,106197
2023-04-07 00:00:00+00:00,1.92,2.22,1.785,1.98,229844
2023-04-14 00:00:00+00:00,2.22,2.31,1.92,2.01,347193
2023-04-21 00:00:00+00:00,1.896,2.28,1.8903,2.1321,140317
2023-04-28 00:00:00+00:00,2.0403,2.0742,1.89,1.89,77439
2023-05-05 00:00:00+00:00,2.376,2.4,2.04,2.04,199333
2023-05-12 00:00:00+00:00,2.256,2.52,2.1174,2.376,139650
2023-05-19 00:00:00+00:00,2.3364,2.4,2.25,2.256,122094
2023-05-26 00:00:00+00:00,2.0103,2.49,2.0043,2.34,257802
2023-06-02 00:00:00+00:00,2.13,2.189697,2.04,2.04,112588
2023-06-09 00:00:00+00:00,2.1591,2.3301,1.98,2.0931,146491
2023-06-16 00:00:00+00:00,2.1,2.2221,2.0613,2.1,147508
2023-06-23 00:00:00+00:00,2.13,2.1915,2.046,2.07,135418
2023-06-30 00:00:00+00:00,2.0463,2.19,2.046,2.0661,115521
2023-07-07 00:00:00+00:00,1.9725,2.1297,1.92,2.07,103250
2023-07-14 00:00:00+00:00,2.4177,2.955,1.941,1.941,697743
2023-07-21 00:00:00+00:00,2.4009,2.73,2.16,2.4477,254251
2023-07-28 00:00:00+00:00,2.2536,2.487,2.19,2.4546,192123
2023-08-04 00:00:00+00:00,2.2494,2.31,2.1,2.2536,128735
2023-08-11 00:00:00+00:00,2.0703,2.8224,1.98,2.16,1442519
2023-08-18 00:00:00+00:00,1.77,2.13,1.73,1.89,724144
2023-08-25 00:00:00+00:00,1.72,1.83,1.68,1.76,126164
2023-09-01 00:00:00+00:00,1.78,1.8,1.47,1.74,467357
2023-09-08 00:00:00+00:00,1.61,1.87,1.57,1.87,350084
2023-09-15 00:00:00+00:00,1.57,1.635,1.55,1.6,154777
2023-09-22 00:00:00+00:00,1.5213,1.59,1.5,1.56,307625
2023-09-29 00:00:00+00:00,1.57,1.65,1.5,1.52,195765
2023-10-06 00:00:00+00:00,1.57,1.62,1.45,1.62,159349
2023-10-13 00:00:00+00:00,1.45,1.7199,1.41,1.4696,201138
2023-10-20 00:00:00+00:00,1.33,1.5,1.32,1.49,122409
2023-10-27 00:00:00+00:00,1.02,1.3803,0.9501,1.33,450335
2023-11-03 00:00:00+00:00,1.19,1.23,1.0,1.05,229390
2023-11-10 00:00:00+00:00,1.16,1.26,1.1423,1.19,127885
2023-11-17 00:00:00+00:00,1.19,1.24,1.1,1.15,137886
2023-11-24 00:00:00+00:00,1.2,1.23,1.16,1.18,129849
2023-12-01 00:00:00+00:00,1.37,1.44,1.17,1.17,331322
2023-12-08 00:00:00+00:00,1.8,1.81,1.32,1.32,587312
2023-12-15 00:00:00+00:00,1.93,2.11,1.65,1.74,362582
2023-12-22 00:00:00+00:00,2.06,2.12,1.88,1.9,390931
2023-12-29 00:00:00+00:00,1.84,2.1,1.83,2.06,309751
2024-01-05 00:00:00+00:00,1.89,1.97,1.7417,1.82,323178
2024-01-12 00:00:00+00:00,1.78,1.96,1.74,1.85,183281
2024-01-19 00:00:00+00:00,1.61,1.78,1.5701,1.75,155981
2024-01-26 00:00:00+00:00,1.5026,1.64,1.4,1.64,123123
2024-02-02 00:00:00+00:00,1.66,1.7499,1.44,1.47,226382
2024-02-09 00:00:00+00:00,1.77,1.82,1.5601,1.61,233278
2024-02-16 00:00:00+00:00,1.81,1.9,1.65,1.75,331383
2024-02-23 00:00:00+00:00,1.62,1.79,1.59,1.79,142126
2024-03-01 00:00:00+00:00,1.92,2.03,1.56,1.58,438392
2024-03-08 00:00:00+00:00,2.18,2.25,1.93,1.93,687880
2024-03-15 00:00:00+00:00,1.93,2.18,1.74,2.14,432520
2024-03-22 00:00:00+00:00,1.89,2.18,1.87,1.94,921837
2024-03-29 00:00:00+00:00,2.0,2.03,1.81,1.93,360048
2024-04-05 00:00:00+00:00,2.0,2.01,1.83,2.01,382888
2024-04-12 00:00:00+00:00,1.97,2.04,1.92,1.97,264932
2024-04-19 00:00:00+00:00,1.81,2.07,1.79,2.07,266504
2024-04-26 00:00:00+00:00,1.87,1.9,1.79,1.81,121477
2024-05-03 00:00:00+00:00,1.84,1.9,1.79,1.87,131266
2024-05-10 00:00:00+00:00,1.76,1.93,1.75,1.81,314004
2024-05-17 00:00:00+00:00,1.735,1.7999,1.62,1.69,486530
2024-05-24 00:00:00+00:00,1.71,1.82,1.7,1.72,396293
2024-05-31 00:00:00+00:00,1.49,1.73,1.49,1.73,218021
2024-06-07 00:00:00+00:00,1.58,1.68,1.38,1.5,486502
2024-06-14 00:00:00+00:00,1.47,1.64,1.44,1.6,374404
2024-06-21 00:00:00+00:00,1.43,1.48,1.31,1.44,342871
2024-06-28 00:00:00+00:00,1.47,1.53,1.44,1.46,325127
2024-07-05 00:00:00+00:00,1.53,1.53,1.46,1.49,120299
2024-07-12 00:00:00+00:00,1.54,1.65,1.485,1.53,298122
2024-07-19 00:00:00+00:00,1.56,1.645,1.511,1.53,240908
2024-07-26 00:00:00+00:00,1.43,1.63,1.41,1.54,382944
2024-08-02 00:00:00+00:00,1.22,1.45,1.22,1.4,159506
2024-08-09 00:00:00+00:00,1.3188,1.35,1.09,1.11,212724
2024-08-16 00:00:00+00:00,1.305,1.36,1.2702,1.31,268128
2024-08-23 00:00:00+00:00,1.275,1.35,1.2,1.34,125028
2024-08-30 00:00:00+00:00,1.235,1.27,1.2,1.26,75220
2024-09-06 00:00:00+00:00,1.2,1.2519,1.19,1.23,66158
2024-09-13 00:00:00+00:00,1.155,1.22,1.09,1.21,118175
2024-09-20 00:00:00+00:00,1.18,1.28,1.12,1.14,175309
2024-09-27 00:00:00+00:00,1.195,1.24,1.1301,1.18,75215
2024-10-04 00:00:00+00:00,1.145,1.2295,1.13,1.18,108730
2024-10-11 00:00:00+00:00,1.06,1.14,1.03,1.13,89052
2024-10-18 00:00:00+00:00,1.09,1.1,1.0,1.06,193382
2024-10-25 00:00:00+00:00,1.01,1.1014,1.0,1.1,132489
2024-11-01 00:00:00+00:00,0.95,1.0198,0.94,1.0,282300
2024-11-08 00:00:00+00:00,1.285,1.31,0.9513,0.97,833281
2024-11-15 00:00:00+00:00,1.285,1.95,1.27,1.38,1644532
2024-11-22 00:00:00+00:00,1.43,1.6,1.27,1.27,780885
2024-11-29 00:00:00+00:00,1.485,1.49,1.41,1.43,201973
2024-12-06 00:00:00+00:00,1.5021,1.73,1.46,1.49,649102
2024-12-13 00:00:00+00:00,1.36,1.5541,1.3274,1.52,507538
2024-12-20 00:00:00+00:00,1.35,1.46,1.32,1.37,504426
2024-12-27 00:00:00+00:00,1.3,1.3583,1.265,1.34,217330
2025-01-03 00:00:00+00:00,1.31,1.3764,1.27,1.28,220511
2025-01-10 00:00:00+00:00,1.26,1.38,1.24,1.34,330692
2025-01-17 00:00:00+00:00,1.25,1.29,1.15,1.25,227816
2025-01-24 00:00:00+00:00,1.34,1.37,1.25,1.3,413660
2025-01-31 00:00:00+00:00,1.32,1.37,1.22,1.27,258849
2025-02-07 00:00:00+00:00,1.255,1.34,1.16,1.2,339463
2025-02-14 00:00:00+00:00,1.245,1.2651,1.17,1.25,282883
2025-02-21 00:00:00+00:00,1.145,1.235,1.135,1.23,159438
2025-02-28 00:00:00+00:00,1.035,1.14,1.025,1.14,250683
2025-03-07 00:00:00+00:00,1.005,1.1,0.9204,1.1,613438
2025-03-14 00:00:00+00:00,0.9,0.99,0.882,0.975,327061
2025-03-21 00:00:00+00:00,0.95,1.17,0.9,0.9,208475
2025-03-28 00:00:00+00:00,0.9,0.9999,0.89,0.97,230984
2025-04-04 00:00:00+00:00,0.8,0.920824,0.762001,0.900983,238555
2025-04-11 00:00:00+00:00,0.8087,0.9499,0.74,0.809,346371
2025-04-18 00:00:00+00:00,0.802,0.85,0.789601,0.81,83510
2025-04-25 00:00:00+00:00,0.98,1.0799,0.8,0.8103,460122
2025-05-02 00:00:00+00:00,1.19,1.32,0.8501,0.99,764356
2025-05-09 00:00:00+00:00,0.99659,1.25,0.91,1.25,738140
2025-05-16 00:00:00+00:00,1.28,2.73,0.91,0.995,138727145
2025-05-23 00:00:00+00:00,1.45,1.51,1.2,1.24,2402908
2025-05-30 00:00:00+00:00,1.41,1.63,1.4,1.485,1581478
2025-06-06 00:00:00+00:00,1.35,1.4696,1.29,1.42,743458
2025-06-13 00:00:00+00:00,1.24,1.37,1.24,1.37,856556
2025-06-20 00:00:00+00:00,1.19,1.283,1.155,1.28,736582
2025-06-27 00:00:00+00:00,1.23,1.31,1.15,1.18,505387
2025-07-04 00:00:00+00:00,2.2,3.83,1.17,1.23,278431633
2025-07-11 00:00:00+00:00,2.0,2.18,1.85,2.17,12650431
2025-07-18 00:00:00+00:00,1.91,2.01,1.87,1.99,3533229
2025-07-25 00:00:00+00:00,1.81,2.11,1.8,1.95,4836140
2025-08-01 00:00:00+00:00,1.55,1.83,1.55,1.81,1801198
2025-08-08 00:00:00+00:00,1.65,1.77,1.55,1.55,1333045
2025-08-15 00:00:00+00:00,1.69,1.7995,1.67,1.71,1285800
2025-08-22 00:00:00+00:00,1.79,1.81,1.63,1.68,1249919
2025-08-29 00:00:00+00:00,1.82,1.95,1.765,1.82,1616267
2025-09-05 00:00:00+00:00,1.83,1.85,1.72,1.77,744560
2025-09-12 00:00:00+00:00,1.92,1.92,1.75,1.8,1558775
