date,Open,High,Low,Close,Volume
2025-02-07 15:00:00+00:00,5.15,5.185,5.12,5.145,858.0
2025-02-07 16:00:00+00:00,5.145,5.15,5.085,5.12,307.0
2025-02-07 17:00:00+00:00,5.115,5.195,5.115,5.195,514.0
2025-02-07 18:00:00+00:00,5.195,5.195,5.175,5.18,243.0
2025-02-07 19:00:00+00:00,5.18,5.205,5.175,5.175,196.0
2025-02-07 20:00:00+00:00,5.175,5.175,5.135,5.165,1204.0
2025-02-10 15:00:00+00:00,5.26,5.34,5.26,5.305,1239.0
2025-02-10 16:00:00+00:00,5.31,5.355,5.285,5.35,800.0
2025-02-10 17:00:00+00:00,5.35,5.365,5.34,5.355,400.0
2025-02-10 18:00:00+00:00,5.355,5.375,5.335,5.335,709.0
2025-02-10 19:00:00+00:00,5.335,5.345,5.32,5.33,315.0
2025-02-10 20:00:00+00:00,5.335,5.37,5.32,5.37,1162.0
2025-02-11 15:00:00+00:00,5.42,5.545,5.395,5.545,813.0
2025-02-11 16:00:00+00:00,5.545,5.575,5.5,5.52,515.0
2025-02-11 17:00:00+00:00,5.515,5.535,5.5,5.525,1046.0
2025-02-11 18:00:00+00:00,5.525,5.525,5.49,5.495,700.0
2025-02-11 19:00:00+00:00,5.495,5.495,5.475,5.48,303.0
2025-02-11 20:00:00+00:00,5.485,5.505,5.475,5.49,2381.0
2025-02-12 15:00:00+00:00,5.475,5.49,5.44,5.44,249.0
2025-02-12 16:00:00+00:00,5.44,5.445,5.39,5.395,203.0
2025-02-12 17:00:00+00:00,5.4,5.4,5.335,5.35,622.0
2025-02-12 18:00:00+00:00,5.35,5.355,5.29,5.295,125.0
2025-02-12 19:00:00+00:00,5.295,5.305,5.275,5.295,206.0
2025-02-12 20:00:00+00:00,5.3,5.305,5.275,5.3,1198.0
2025-02-13 15:00:00+00:00,5.26,5.265,5.225,5.24,472.0
2025-02-13 16:00:00+00:00,5.245,5.275,5.225,5.255,454.0
2025-02-13 17:00:00+00:00,5.255,5.26,5.23,5.235,264.0
2025-02-13 18:00:00+00:00,5.235,5.315,5.225,5.315,7291.0
2025-02-13 19:00:00+00:00,5.315,5.345,5.315,5.34,2828.0
2025-02-13 20:00:00+00:00,5.34,5.345,5.305,5.325,1770.0
2025-02-14 15:00:00+00:00,5.395,5.4,5.265,5.285,420.0
2025-02-14 16:00:00+00:00,5.285,5.3,5.255,5.28,1203.0
2025-02-14 17:00:00+00:00,5.285,5.315,5.27,5.28,300.0
2025-02-14 18:00:00+00:00,5.28,5.3,5.275,5.29,179.0
2025-02-14 19:00:00+00:00,5.29,5.33,5.29,5.305,433.0
2025-02-14 20:00:00+00:00,5.305,5.33,5.295,5.32,687.0
2025-02-17 15:00:00+00:00,5.32,5.32,5.32,5.32,0.0
2025-02-17 16:00:00+00:00,5.32,5.32,5.32,5.32,0.0
2025-02-17 17:00:00+00:00,5.32,5.32,5.32,5.32,0.0
2025-02-17 18:00:00+00:00,5.32,5.32,5.32,5.32,0.0
2025-02-17 19:00:00+00:00,5.32,5.32,5.32,5.32,0.0
2025-02-17 20:00:00+00:00,5.32,5.32,5.32,5.32,0.0
2025-02-18 15:00:00+00:00,5.29,5.365,5.29,5.325,22.0
2025-02-18 16:00:00+00:00,5.33,5.365,5.32,5.35,464.0
2025-02-18 17:00:00+00:00,5.355,5.4,5.35,5.39,862.0
2025-02-18 18:00:00+00:00,5.39,5.445,5.38,5.44,339.0
2025-02-18 19:00:00+00:00,5.44,5.45,5.42,5.43,531.0
2025-02-18 20:00:00+00:00,5.425,5.43,5.38,5.39,2078.0
2025-02-19 15:00:00+00:00,5.495,5.52,5.39,5.39,570.0
2025-02-19 16:00:00+00:00,5.39,5.475,5.39,5.47,200.0
2025-02-19 17:00:00+00:00,5.465,5.48,5.445,5.455,442.0
2025-02-19 18:00:00+00:00,5.455,5.48,5.425,5.435,205.0
2025-02-19 19:00:00+00:00,5.435,5.475,5.43,5.46,208.0
2025-02-19 20:00:00+00:00,5.465,5.475,5.445,5.45,1259.0
2025-02-20 15:00:00+00:00,5.99,6.15,5.99,6.11,1745.0
2025-02-20 16:00:00+00:00,6.11,6.175,6.08,6.11,1307.0
2025-02-20 17:00:00+00:00,6.11,6.13,6.04,6.085,1923.0
2025-02-20 18:00:00+00:00,6.085,6.125,6.08,6.095,1322.0
2025-02-20 19:00:00+00:00,6.095,6.12,6.06,6.075,1606.0
