date,Open,High,Low,Close,Volume
2025-09-16 13:30:00+00:00,1.71,1.73,1.705,1.715,958.0
2025-09-16 13:45:00+00:00,1.715,1.715,1.705,1.715,1.0
2025-09-16 14:00:00+00:00,1.705,1.73,1.705,1.725,226.0
2025-09-16 14:15:00+00:00,1.725,1.76,1.725,1.755,3830.0
2025-09-16 14:30:00+00:00,1.755,1.755,1.735,1.735,8154.0
2025-09-16 14:45:00+00:00,1.735,1.735,1.725,1.725,0.0
2025-09-16 15:00:00+00:00,1.725,1.725,1.725,1.725,0.0
2025-09-16 15:15:00+00:00,1.725,1.725,1.715,1.715,499.0
2025-09-16 15:30:00+00:00,1.715,1.715,1.705,1.715,1352.0
2025-09-16 15:45:00+00:00,1.715,1.715,1.715,1.715,0.0
2025-09-16 16:00:00+00:00,1.715,1.725,1.715,1.725,2001.0
2025-09-16 16:15:00+00:00,1.725,1.725,1.715,1.715,0.0
2025-09-16 16:30:00+00:00,1.715,1.72,1.715,1.715,1326.0
2025-09-16 16:45:00+00:00,1.715,1.73,1.715,1.725,66.0
2025-09-16 17:00:00+00:00,1.725,1.725,1.725,1.725,0.0
2025-09-16 17:15:00+00:00,1.73,1.735,1.725,1.735,7192.0
2025-09-16 17:30:00+00:00,1.735,1.735,1.725,1.725,0.0
2025-09-16 17:45:00+00:00,1.725,1.735,1.725,1.735,737.0
2025-09-16 18:00:00+00:00,1.735,1.735,1.735,1.735,0.0
2025-09-16 18:15:00+00:00,1.735,1.735,1.73,1.73,101.0
2025-09-16 18:30:00+00:00,1.73,1.735,1.73,1.735,1200.0
2025-09-16 18:45:00+00:00,1.735,1.745,1.735,1.745,100.0
2025-09-16 19:00:00+00:00,1.745,1.745,1.74,1.745,300.0
2025-09-16 19:15:00+00:00,1.745,1.755,1.745,1.75,6447.0
2025-09-16 19:30:00+00:00,1.755,1.755,1.745,1.745,710.0
2025-09-16 19:45:00+00:00,1.745,1.76,1.735,1.76,1913.0
2025-09-17 13:30:00+00:00,1.75,1.785,1.745,1.78,900.0
2025-09-17 13:45:00+00:00,1.78,1.8,1.775,1.79,3698.0
2025-09-17 14:00:00+00:00,1.79,1.795,1.785,1.795,100.0
2025-09-17 14:15:00+00:00,1.795,1.795,1.775,1.775,6328.0
2025-09-17 14:30:00+00:00,1.775,1.775,1.775,1.775,0.0
