date,Close,High,Low,Open,Volume
2021-12-31 00:00:00+00:00,505.1,526.49,497.7872,520.9,657928
2022-01-07 00:00:00+00:00,516.88,535.0,490.4601,503.54,1006695
2022-01-14 00:00:00+00:00,449.33,519.45,428.13,517.0,1740977
2022-01-21 00:00:00+00:00,443.44,470.84,435.56,445.0,1022054
2022-01-28 00:00:00+00:00,426.16,452.59,406.68,439.05,1400348
2022-02-04 00:00:00+00:00,419.04,428.87,404.5,426.16,1404163
2022-02-11 00:00:00+00:00,432.52,454.11,418.85,423.41,987568
2022-02-18 00:00:00+00:00,378.26,432.05,378.14,430.09,1427704
2022-02-25 00:00:00+00:00,380.53,392.7,355.8685,377.61,771468
2022-03-04 00:00:00+00:00,376.13,402.805,372.7,379.72,833871
2022-03-11 00:00:00+00:00,346.62,381.02,342.74,377.17,642712
2022-03-18 00:00:00+00:00,401.62,402.95,345.31,348.78,783396
2022-03-25 00:00:00+00:00,383.2,409.78,378.88,401.1,528514
2022-04-01 00:00:00+00:00,391.15,401.15,377.85,384.49,402683
2022-04-08 00:00:00+00:00,377.33,404.2,372.09,391.4,549146
2022-04-15 00:00:00+00:00,365.76,392.19,363.675,372.3,474490
2022-04-22 00:00:00+00:00,350.7,372.42,325.53,361.93,1200736
2022-04-29 00:00:00+00:00,375.0,383.6348,340.785,349.59,948351
2022-05-06 00:00:00+00:00,372.39,395.62,359.01,375.38,969052
2022-05-13 00:00:00+00:00,358.29,376.88,332.04,368.33,811345
2022-05-20 00:00:00+00:00,329.21,363.0,322.22,354.06,573462
2022-05-27 00:00:00+00:00,358.26,359.53,315.08,330.14,752906
2022-06-03 00:00:00+00:00,347.39,359.03,339.41,355.84,630458
2022-06-10 00:00:00+00:00,314.1,348.96,313.69,345.21,689504
2022-06-17 00:00:00+00:00,296.69,309.65,287.0,307.7,1087984
2022-06-24 00:00:00+00:00,341.29,344.11,288.64,293.1,818249
2022-07-01 00:00:00+00:00,314.59,341.29,298.36,341.29,708372
2022-07-08 00:00:00+00:00,317.41,325.4,299.26,312.02,707934
