date,Close,High,Low,Open,Volume
2021-12-31 00:00:00+00:00,10.43,10.43,10.01,10.1899,94589
2022-01-07 00:00:00+00:00,10.16,10.45,9.91,10.42,100311
2022-01-14 00:00:00+00:00,11.24,11.41,9.99,10.2,92576
2022-01-21 00:00:00+00:00,12.655,13.05,11.0828,11.3,197216
2022-01-28 00:00:00+00:00,10.6152,13.05,10.45,12.55,241765
2022-02-04 00:00:00+00:00,9.9,11.04,9.72,10.71,247207
2022-02-11 00:00:00+00:00,10.38,10.71,9.52,9.9,222938
2022-02-18 00:00:00+00:00,10.31,10.66,10.05,10.39,127062
2022-02-25 00:00:00+00:00,10.47,10.92,9.93,10.26,156280
2022-03-04 00:00:00+00:00,11.69,11.765,10.34,10.63,250140
2022-03-11 00:00:00+00:00,12.75,13.39,11.45,11.84,313295
2022-03-18 00:00:00+00:00,12.75,12.775,11.33,12.48,185545
2022-03-25 00:00:00+00:00,12.2,13.32,11.88,12.86,155528
2022-04-01 00:00:00+00:00,11.43,12.09,10.9,12.09,197739
2022-04-08 00:00:00+00:00,10.94,11.44,10.69,11.44,107993
2022-04-15 00:00:00+00:00,11.01,11.15,10.51,10.99,184987
2022-04-22 00:00:00+00:00,10.07,11.22,10.0,11.06,154606
2022-04-29 00:00:00+00:00,9.21,9.9716,9.2,9.9,155251
2022-05-06 00:00:00+00:00,8.53,9.17,8.468,9.17,204357
2022-05-13 00:00:00+00:00,8.1,8.46,7.58,8.3,246515
2022-05-20 00:00:00+00:00,7.97,8.71,7.9,8.27,125850
2022-05-27 00:00:00+00:00,7.23,8.2278,7.12,8.0,240628
2022-06-03 00:00:00+00:00,7.53,7.72,6.82,7.24,298301
2022-06-10 00:00:00+00:00,7.3,7.61,6.93,7.53,196691
2022-06-17 00:00:00+00:00,6.51,7.24,6.29,7.24,261350
2022-06-24 00:00:00+00:00,5.95,6.44,5.74,6.28,183631
2022-07-01 00:00:00+00:00,5.57,6.02,5.15,6.01,148631
2022-07-08 00:00:00+00:00,5.12,5.41,4.97,5.41,95804
2022-07-15 00:00:00+00:00,4.51,5.15,4.46,5.15,196713
2022-07-22 00:00:00+00:00,5.07,5.11,4.48,4.48,165437
2022-07-29 00:00:00+00:00,5.535,5.65,4.75,5.24,159845
2022-08-05 00:00:00+00:00,5.66,5.95,5.36,5.53,224319
2022-08-12 00:00:00+00:00,5.8,5.925,5.49,5.82,138512
2022-08-19 00:00:00+00:00,5.05,5.75,4.99,5.75,141509
2022-08-26 00:00:00+00:00,5.12,5.41,4.87,4.87,655892
2022-09-02 00:00:00+00:00,4.69,5.23,4.5,5.06,285577
2022-09-09 00:00:00+00:00,5.2,5.3,4.58,4.75,229558
2022-09-16 00:00:00+00:00,5.0,5.9,4.98,5.48,503170
2022-09-23 00:00:00+00:00,4.48,5.0,4.44,4.6,325686
2022-09-30 00:00:00+00:00,4.68,4.87,4.1,4.4,453214
2022-10-07 00:00:00+00:00,4.46,5.03,4.45,4.73,315841
2022-10-14 00:00:00+00:00,4.25,4.67,4.22,4.4,136270
2022-10-21 00:00:00+00:00,4.52,4.54,4.17,4.41,180212
2022-10-28 00:00:00+00:00,4.55,4.85,4.3,4.57,171760
2022-11-04 00:00:00+00:00,4.77,4.81,4.18,4.5,343365
2022-11-11 00:00:00+00:00,5.73,5.84,4.7,4.87,332371
2022-11-18 00:00:00+00:00,5.54,5.77,5.1766,5.73,225592
2022-11-25 00:00:00+00:00,5.55,5.84,5.4,5.46,184853
2022-12-02 00:00:00+00:00,5.8,5.88,5.02,5.41,324228
2022-12-09 00:00:00+00:00,5.64,5.85,5.355,5.8,300724
2022-12-16 00:00:00+00:00,5.38,6.32,5.16,5.64,305469
2022-12-23 00:00:00+00:00,5.16,5.4,5.0,5.39,245934
2022-12-30 00:00:00+00:00,5.32,5.36,5.09,5.17,234605
2023-01-06 00:00:00+00:00,6.46,6.54,5.44,5.49,315997
2023-01-13 00:00:00+00:00,6.57,6.87,6.48,6.7,198890
2023-01-20 00:00:00+00:00,6.21,6.58,6.09,6.57,166253
2023-01-27 00:00:00+00:00,6.28,6.5,5.28,6.18,180600
2023-02-03 00:00:00+00:00,5.65,6.376,5.57,6.34,279107
2023-02-10 00:00:00+00:00,5.57,5.7699,5.51,5.65,105541
2023-02-17 00:00:00+00:00,5.37,5.5711,5.17,5.55,122516
2023-02-24 00:00:00+00:00,4.91,5.36,4.8499,5.26,102462
2023-03-03 00:00:00+00:00,5.48,5.5197,4.9,4.96,211942
2023-03-10 00:00:00+00:00,5.21,5.48,4.8701,5.48,193470
2023-03-17 00:00:00+00:00,5.81,5.92,5.2,5.61,235991
2023-03-24 00:00:00+00:00,5.68,5.97,5.4,5.92,221112
2023-03-31 00:00:00+00:00,6.11,6.25,5.4,5.62,139212
2023-04-07 00:00:00+00:00,6.12,6.58,5.98,6.14,228097
2023-04-14 00:00:00+00:00,6.83,7.16,5.94,6.14,188707
2023-04-21 00:00:00+00:00,6.49,6.93,6.39,6.75,220670
2023-04-28 00:00:00+00:00,6.73,6.9001,6.15,6.47,155953
2023-05-05 00:00:00+00:00,7.22,7.65,6.72,6.81,274610
2023-05-12 00:00:00+00:00,6.51,7.31,6.47,7.31,249422
2023-05-19 00:00:00+00:00,5.4,6.56,5.22,6.47,447751
2023-05-26 00:00:00+00:00,5.16,5.57,5.01,5.33,154512
2023-06-02 00:00:00+00:00,5.39,5.57,5.1801,5.22,136999
2023-06-09 00:00:00+00:00,5.06,5.39,4.9833,5.39,252818
2023-06-16 00:00:00+00:00,5.13,5.19,4.9101,5.05,183271
2023-06-23 00:00:00+00:00,4.71,5.12,4.67,5.04,255724
2023-06-30 00:00:00+00:00,4.83,4.85,4.52,4.75,399386
2023-07-07 00:00:00+00:00,4.93,5.24,4.72,4.85,252658
2023-07-14 00:00:00+00:00,5.19,5.35,4.83,4.93,231997
2023-07-21 00:00:00+00:00,4.96,5.37,4.9056,5.16,238625
2023-07-28 00:00:00+00:00,4.72,4.99,4.63,4.91,261969
2023-08-04 00:00:00+00:00,4.98,5.28,4.64,4.64,226256
2023-08-11 00:00:00+00:00,4.97,5.0,4.57,5.0,195278
2023-08-18 00:00:00+00:00,4.64,4.93,4.55,4.93,260882
2023-08-25 00:00:00+00:00,4.65,4.9937,4.6,4.71,203036
2023-09-01 00:00:00+00:00,4.81,5.18,4.67,4.67,265161
2023-09-08 00:00:00+00:00,4.54,4.89,4.43,4.8,267663
2023-09-15 00:00:00+00:00,4.69,4.76,4.54,4.55,203794
2023-09-22 00:00:00+00:00,5.07,5.19,4.59,4.75,262368
2023-09-29 00:00:00+00:00,4.6,5.06,4.51,5.06,248259
2023-10-06 00:00:00+00:00,4.38,4.59,4.24,4.51,450109
2023-10-13 00:00:00+00:00,4.54,4.63,4.34,4.4,246532
2023-10-20 00:00:00+00:00,4.45,4.72,4.36,4.5,285336
2023-10-27 00:00:00+00:00,3.85,4.51,3.59,4.48,750704
2023-11-03 00:00:00+00:00,3.38,4.0,3.28,4.0,816139
2023-11-10 00:00:00+00:00,3.36,3.54,3.045,3.34,649200
2023-11-17 00:00:00+00:00,3.95,4.11,3.33,3.4,861150
2023-11-24 00:00:00+00:00,4.46,4.46,3.85,3.88,293171
2023-12-01 00:00:00+00:00,4.53,4.78,4.33,4.5,974038
2023-12-08 00:00:00+00:00,4.0,4.49,3.89,4.49,837751
2023-12-15 00:00:00+00:00,4.46,4.6796,3.71,3.99,2523672
2023-12-22 00:00:00+00:00,4.92,5.2,4.46,4.635,1024055
2023-12-29 00:00:00+00:00,4.88,5.2,4.842,4.95,570829
2024-01-05 00:00:00+00:00,4.36,4.95,4.2796,4.95,638559
2024-01-12 00:00:00+00:00,4.33,4.44,4.03,4.4,712765
2024-01-19 00:00:00+00:00,4.07,4.32,3.9,4.32,714516
2024-01-26 00:00:00+00:00,4.21,4.37,3.985,4.0,782469
2024-02-02 00:00:00+00:00,4.61,4.95,4.18,4.21,1141230
2024-02-09 00:00:00+00:00,4.21,4.59,4.17,4.46,410923
2024-02-16 00:00:00+00:00,3.82,4.31,3.7,4.21,864343
2024-02-23 00:00:00+00:00,3.53,3.85,3.38,3.85,719129
2024-03-01 00:00:00+00:00,4.02,4.025,3.29,3.52,1338468
2024-03-08 00:00:00+00:00,4.41,4.61,3.9,4.11,1017912
2024-03-15 00:00:00+00:00,4.45,4.65,4.25,4.35,1073009
2024-03-22 00:00:00+00:00,4.37,4.62,4.1101,4.49,507212
2024-03-29 00:00:00+00:00,4.62,4.75,4.23,4.34,645052
2024-04-05 00:00:00+00:00,4.73,4.86,4.55,4.7,839523
2024-04-12 00:00:00+00:00,4.66,5.12,4.5695,4.75,1622794
2024-04-19 00:00:00+00:00,4.64,4.81,4.49,4.7,1035261
2024-04-26 00:00:00+00:00,4.93,4.94,4.38,4.64,1078748
2024-05-03 00:00:00+00:00,4.66,5.1,4.63,4.97,1085419
2024-05-10 00:00:00+00:00,4.95,5.2976,4.69,4.79,838063
2024-05-17 00:00:00+00:00,5.11,5.37,4.79,4.9,1145872
2024-05-24 00:00:00+00:00,4.53,5.74,4.48,5.21,1817477
2024-05-31 00:00:00+00:00,4.44,4.66,4.23,4.57,1791210
2024-06-07 00:00:00+00:00,4.31,4.83,4.2801,4.46,1579874
2024-06-14 00:00:00+00:00,4.53,4.72,4.3,4.38,1198275
2024-06-21 00:00:00+00:00,4.53,4.81,4.44,4.45,924195
2024-06-28 00:00:00+00:00,5.37,5.52,4.1,4.6,3247822
2024-07-05 00:00:00+00:00,6.26,6.29,5.06,5.39,2113983
2024-07-12 00:00:00+00:00,6.83,7.11,6.11,6.26,2380924
2024-07-19 00:00:00+00:00,6.2,6.845,6.16,6.83,3550760
