date,Close,High,Low,Open,Volume
2024-08-01 00:00:00+00:00,39.0,40.75,38.61,39.0,30461
2024-08-02 00:00:00+00:00,37.82,39.0,34.89,38.0,98105
2024-08-05 00:00:00+00:00,36.09,36.66,34.0,34.98,37903
2024-08-06 00:00:00+00:00,36.01,37.0,35.0,36.11,13090
2024-08-07 00:00:00+00:00,36.07,37.35,35.67,36.185,78304
2024-08-08 00:00:00+00:00,37.0,37.02,35.79,35.79,14476
2024-08-09 00:00:00+00:00,36.42,37.0,35.37,36.9,22624
2024-08-12 00:00:00+00:00,34.84,36.38,34.84,36.38,85648
2024-08-13 00:00:00+00:00,34.4,35.598,33.48,34.8,16461
2024-08-14 00:00:00+00:00,34.76,35.46,33.4501,33.82,31595
2024-08-15 00:00:00+00:00,34.78,35.46,34.36,34.7,17132
2024-08-16 00:00:00+00:00,34.81,34.9946,34.54,34.92,26868
2024-08-19 00:00:00+00:00,35.69,35.93,34.71,34.7117,9605
2024-08-20 00:00:00+00:00,36.15,36.49,35.56,35.99,34661
2024-08-21 00:00:00+00:00,35.73,36.5,35.56,36.5,18054
2024-08-22 00:00:00+00:00,36.37,36.735,35.28,35.28,44829
2024-08-23 00:00:00+00:00,36.93,37.62,36.04,36.66,31151
2024-08-26 00:00:00+00:00,36.89,37.045,36.75,37.0,45803
2024-08-27 00:00:00+00:00,36.54,36.99,35.61,36.95,17214
2024-08-28 00:00:00+00:00,36.44,36.44,36.1388,36.36,12036
2024-08-29 00:00:00+00:00,36.67,36.91,36.01,36.2,35246
2024-08-30 00:00:00+00:00,36.9,36.9,36.18,36.78,32966
2024-09-03 00:00:00+00:00,36.93,37.71,36.3,36.3,47247
2024-09-04 00:00:00+00:00,37.02,37.67,36.75,37.2,61359
2024-09-05 00:00:00+00:00,36.98,37.36,36.3,36.87,74507
2024-09-06 00:00:00+00:00,36.66,37.17,36.18,36.68,35503
2024-09-09 00:00:00+00:00,38.08,39.18,36.99,37.05,65400
2024-09-10 00:00:00+00:00,37.56,38.21,37.09,37.78,55402
2024-09-11 00:00:00+00:00,37.22,38.04,36.375,37.75,54132
2024-09-12 00:00:00+00:00,36.98,37.52,36.64,37.4,72638
2024-09-13 00:00:00+00:00,34.59,37.1,33.77,36.83,86918
2024-09-16 00:00:00+00:00,35.97,36.21,34.6,34.6,40698
2024-09-17 00:00:00+00:00,36.78,37.79,35.62,36.39,83193
2024-09-18 00:00:00+00:00,37.0,37.51,36.24,36.31,172906
2024-09-19 00:00:00+00:00,36.39,37.93,35.8,37.425,137205
2024-09-20 00:00:00+00:00,35.91,37.27,35.6,35.88,782849
2024-09-23 00:00:00+00:00,35.78,36.95,34.94,36.46,137711
2024-09-24 00:00:00+00:00,35.82,36.4,35.71,36.0,107369
2024-09-25 00:00:00+00:00,34.38,36.56,34.1,35.45,62243
2024-09-26 00:00:00+00:00,33.61,35.04,33.13,34.61,52874
2024-09-27 00:00:00+00:00,34.59,35.33,33.69,34.04,44945
2024-09-30 00:00:00+00:00,35.03,35.85,34.0,34.55,58107
2024-10-01 00:00:00+00:00,34.45,35.2,34.26,34.5,23265
2024-10-02 00:00:00+00:00,37.75,38.05,35.49,35.84,126925
2024-10-03 00:00:00+00:00,37.99,38.8,37.1,37.1,134577
2024-10-04 00:00:00+00:00,37.12,38.5999,37.0,38.49,77241
2024-10-07 00:00:00+00:00,35.03,36.99,34.93,36.65,52102
2024-10-08 00:00:00+00:00,35.16,35.415,34.14,34.67,64048
2024-10-09 00:00:00+00:00,35.88,36.23,35.14,35.16,112622
2024-10-10 00:00:00+00:00,35.91,37.02,35.56,35.74,69709
2024-10-11 00:00:00+00:00,36.15,36.87,35.7,36.25,61849
2024-10-14 00:00:00+00:00,35.85,36.45,35.78,36.17,40495
2024-10-15 00:00:00+00:00,35.09,36.3694,35.0,36.24,57888
2024-10-16 00:00:00+00:00,35.48,36.14,35.16,35.27,88440
2024-10-17 00:00:00+00:00,35.73,36.2675,34.7,35.77,71623
2024-10-18 00:00:00+00:00,35.74,36.01,35.27,35.89,75177
2024-10-21 00:00:00+00:00,35.97,36.29,35.505,35.6102,99562
2024-10-22 00:00:00+00:00,35.47,36.335,35.19,35.95,47867
2024-10-23 00:00:00+00:00,35.16,35.78,34.5,35.46,72465
2024-10-24 00:00:00+00:00,34.76,35.47,34.51,35.46,38494
2024-10-25 00:00:00+00:00,34.92,35.88,34.76,35.1,42258
2024-10-28 00:00:00+00:00,35.0,35.23,34.0,35.07,65553
2024-10-29 00:00:00+00:00,34.41,35.9937,34.25,34.44,37781
2024-10-30 00:00:00+00:00,35.21,35.41,34.0,34.0,80869
2024-10-31 00:00:00+00:00,34.92,35.7828,34.63,35.48,49090
2024-11-01 00:00:00+00:00,33.48,35.0,33.29,35.0,63974
2024-11-04 00:00:00+00:00,32.88,33.618,31.81,33.0,96255
2024-11-05 00:00:00+00:00,34.67,34.94,33.08,33.26,50921
2024-11-06 00:00:00+00:00,35.64,35.98,35.01,35.11,57906
2024-11-07 00:00:00+00:00,35.8,36.51,35.33,35.33,64323
2024-11-08 00:00:00+00:00,35.86,36.14,35.46,35.59,79784
2024-11-11 00:00:00+00:00,36.0,36.3,35.6,36.1516,72557
2024-11-12 00:00:00+00:00,35.73,38.01,35.35,36.75,53204
2024-11-13 00:00:00+00:00,35.02,35.8,34.7,35.71,33562
2024-11-14 00:00:00+00:00,35.34,35.96,35.18,35.18,23568
2024-11-15 00:00:00+00:00,35.54,35.73,35.16,35.61,33266
2024-11-18 00:00:00+00:00,36.14,36.14,35.34,35.54,37466
2024-11-19 00:00:00+00:00,36.0,36.11,35.4,35.91,60998
2024-11-20 00:00:00+00:00,36.0,36.14,35.69,35.82,38875
2024-11-21 00:00:00+00:00,36.0,36.53,35.75,35.75,83099
2024-11-22 00:00:00+00:00,37.35,38.7418,35.74,35.74,86883
2024-11-25 00:00:00+00:00,37.36,38.1099,36.86,37.16,45794
2024-11-26 00:00:00+00:00,37.13,38.115,36.88,37.07,42926
2024-11-27 00:00:00+00:00,37.46,37.59,36.85,36.85,30613
2024-11-29 00:00:00+00:00,37.79,38.16,37.2,37.2,47161
2024-12-02 00:00:00+00:00,37.88,38.2703,37.54,38.01,62242
2024-12-03 00:00:00+00:00,38.01,38.1,37.43,37.98,88992
2024-12-04 00:00:00+00:00,37.3,38.4,37.01,38.4,47273
2024-12-05 00:00:00+00:00,37.95,38.11,36.9,37.62,160821
2024-12-06 00:00:00+00:00,37.81,38.14,37.09,38.14,96720
2024-12-09 00:00:00+00:00,37.39,38.09,36.43,38.0,129292
2024-12-10 00:00:00+00:00,37.47,38.09,36.5,36.99,80339
2024-12-11 00:00:00+00:00,36.58,38.005,36.56,37.78,77008
2024-12-12 00:00:00+00:00,36.29,36.67,35.88,36.6,170280
2024-12-13 00:00:00+00:00,35.91,36.51,35.425,36.37,76944
2024-12-16 00:00:00+00:00,35.3,35.6,34.82,35.6,81852
2024-12-17 00:00:00+00:00,35.5,35.5,34.3,34.86,55642
2024-12-18 00:00:00+00:00,34.81,35.6369,34.595,35.16,81241
2024-12-19 00:00:00+00:00,34.54,35.17,34.23,34.98,63223
2024-12-20 00:00:00+00:00,34.94,35.33,34.49,34.49,116152
2024-12-23 00:00:00+00:00,35.0,35.21,34.5,35.0,65474
2024-12-24 00:00:00+00:00,35.2,35.75,35.04,35.1,71053
2024-12-26 00:00:00+00:00,36.34,36.45,35.02,35.13,58296
2024-12-27 00:00:00+00:00,36.48,37.0,36.06,36.06,24355
2024-12-30 00:00:00+00:00,36.81,36.97,35.7101,36.25,48184
2024-12-31 00:00:00+00:00,37.78,38.01,36.71,36.71,52120
2025-01-02 00:00:00+00:00,37.81,38.19,36.95,37.8,46724
2025-01-03 00:00:00+00:00,38.0,38.04,37.55,37.55,73784
2025-01-06 00:00:00+00:00,37.87,38.1,37.47,37.87,79533
2025-01-07 00:00:00+00:00,37.73,37.99,37.13,37.99,35219
2025-01-08 00:00:00+00:00,37.55,37.84,37.02,37.55,130043
2025-01-10 00:00:00+00:00,37.82,37.8992,36.68,37.69,44273
2025-01-13 00:00:00+00:00,37.72,38.03,37.315,38.0,53198
2025-01-14 00:00:00+00:00,37.85,38.01,37.2,37.56,86606
2025-01-15 00:00:00+00:00,38.0,38.04,37.807,37.9,106901
2025-01-16 00:00:00+00:00,38.35,38.4,37.7901,38.0,139600
2025-01-17 00:00:00+00:00,41.57,42.2562,38.48,38.48,113520
2025-01-21 00:00:00+00:00,42.03,43.025,41.2701,41.8,150457
2025-01-22 00:00:00+00:00,43.11,43.9899,41.48,42.37,120293
2025-01-23 00:00:00+00:00,42.38,43.53,42.21,43.53,90666
2025-01-24 00:00:00+00:00,42.88,43.0,41.675,42.4,75346
2025-01-27 00:00:00+00:00,39.73,43.113,39.551,42.88,72890
2025-01-28 00:00:00+00:00,40.71,40.945,38.97,39.42,70067
2025-01-29 00:00:00+00:00,41.17,41.7799,40.5,40.99,27088
2025-01-30 00:00:00+00:00,41.56,41.85,40.785,41.33,32261
2025-01-31 00:00:00+00:00,41.54,42.72,41.0,41.0,59566
2025-02-03 00:00:00+00:00,41.27,41.5,40.68,41.5,41872
2025-02-04 00:00:00+00:00,42.71,43.05,40.74,40.89,75992
2025-02-05 00:00:00+00:00,43.01,43.45,41.9,42.8,81557
2025-02-06 00:00:00+00:00,43.79,43.99,42.54,43.09,81998
2025-02-07 00:00:00+00:00,42.66,43.5,42.29,43.5,66413
2025-02-10 00:00:00+00:00,43.41,44.185,42.42,42.45,55556
2025-02-11 00:00:00+00:00,43.89,44.49,42.96,43.4,76160
2025-02-12 00:00:00+00:00,43.88,44.67,43.16,43.72,99695
2025-02-13 00:00:00+00:00,45.21,45.4087,43.43,43.49,89679
2025-02-14 00:00:00+00:00,44.2,45.36,43.91,45.06,56967
2025-02-18 00:00:00+00:00,45.13,45.89,43.905,44.32,84639
