date,Open,High,Low,Close,Volume
2025-02-07 15:00:00+00:00,66.48,66.56,65.97,65.97,1743.0
2025-02-07 16:00:00+00:00,66.13,66.32,65.85,66.11,354.0
2025-02-07 17:00:00+00:00,66.19,66.77,66.11,66.57,1304.0
2025-02-07 18:00:00+00:00,66.57,66.96,66.49,66.62,1920.0
2025-02-07 19:00:00+00:00,66.465,67.17,66.465,67.11,1468.0
2025-02-07 20:00:00+00:00,67.11,67.215,66.77,67.215,4965.0
2025-02-10 15:00:00+00:00,66.595,66.595,66.275,66.36,910.0
2025-02-10 16:00:00+00:00,66.36,66.36,65.98,66.29,318.0
2025-02-10 17:00:00+00:00,66.5,66.715,66.305,66.305,816.0
2025-02-10 18:00:00+00:00,66.305,66.585,66.305,66.48,689.0
2025-02-10 19:00:00+00:00,66.46,66.59,66.46,66.59,456.0
2025-02-10 20:00:00+00:00,66.56,66.81,66.495,66.68,3218.0
2025-02-11 15:00:00+00:00,66.35,66.63,66.175,66.585,302.0
2025-02-11 16:00:00+00:00,66.515,66.82,66.35,66.82,916.0
2025-02-11 17:00:00+00:00,66.82,67.14,66.82,67.135,554.0
2025-02-11 18:00:00+00:00,67.135,67.24,67.09,67.175,146.0
2025-02-11 19:00:00+00:00,67.175,67.53,67.1,67.475,323.0
2025-02-11 20:00:00+00:00,67.475,67.85,67.475,67.84,3482.0
2025-02-12 15:00:00+00:00,66.43,66.43,65.84,66.32,1568.0
2025-02-12 16:00:00+00:00,66.32,66.54,66.27,66.54,894.0
2025-02-12 17:00:00+00:00,66.6,66.86,66.585,66.8,273.0
2025-02-12 18:00:00+00:00,66.81,67.13,66.78,67.0,738.0
2025-02-12 19:00:00+00:00,67.0,67.08,66.815,67.04,1276.0
2025-02-12 20:00:00+00:00,67.04,67.35,66.955,67.32,12778.0
2025-02-13 15:00:00+00:00,67.23,67.54,67.01,67.01,479.0
2025-02-13 16:00:00+00:00,67.01,67.42,67.01,67.145,147.0
2025-02-13 17:00:00+00:00,67.145,67.59,67.07,67.55,492.0
2025-02-13 18:00:00+00:00,67.55,67.92,67.55,67.885,338.0
2025-02-13 19:00:00+00:00,67.885,68.2,67.885,68.15,659.0
2025-02-13 20:00:00+00:00,68.15,68.435,68.08,68.435,1218.0
2025-02-14 15:00:00+00:00,69.08,69.08,67.88,67.92,631.0
2025-02-14 16:00:00+00:00,67.92,68.12,67.61,68.12,770.0
2025-02-14 17:00:00+00:00,68.12,68.3,68.12,68.15,780.0
2025-02-14 18:00:00+00:00,68.15,68.46,68.15,68.46,86.0
2025-02-14 19:00:00+00:00,68.46,68.52,68.41,68.52,793.0
2025-02-14 20:00:00+00:00,68.52,68.61,68.3,68.46,2225.0
2025-02-17 15:00:00+00:00,68.46,68.46,68.46,68.46,0.0
2025-02-17 16:00:00+00:00,68.46,68.46,68.46,68.46,0.0
2025-02-17 17:00:00+00:00,68.46,68.46,68.46,68.46,0.0
2025-02-17 18:00:00+00:00,68.46,68.46,68.46,68.46,0.0
2025-02-17 19:00:00+00:00,68.46,68.46,68.46,68.46,0.0
2025-02-17 20:00:00+00:00,68.46,68.46,68.46,68.46,0.0
2025-02-18 15:00:00+00:00,67.95,68.295,67.68,68.29,125.0
2025-02-18 16:00:00+00:00,68.29,68.29,67.41,67.41,147.0
2025-02-18 17:00:00+00:00,67.41,67.965,67.41,67.965,1709.0
2025-02-18 18:00:00+00:00,67.955,68.36,67.955,68.295,252.0
2025-02-18 19:00:00+00:00,68.24,68.49,68.23,68.48,943.0
2025-02-18 20:00:00+00:00,68.48,68.7,68.43,68.48,7603.0
2025-02-19 15:00:00+00:00,68.14,68.245,68.12,68.12,266.0
2025-02-19 16:00:00+00:00,68.12,68.2,68.11,68.11,454.0
2025-02-19 17:00:00+00:00,68.11,68.18,67.96,68.06,582.0
2025-02-19 18:00:00+00:00,68.06,68.27,68.0,68.25,1025.0
2025-02-19 19:00:00+00:00,68.225,68.67,68.225,68.67,692.0
2025-02-19 20:00:00+00:00,68.67,68.91,68.53,68.54,4144.0
2025-02-20 15:00:00+00:00,68.19,68.31,67.97,67.97,95.0
2025-02-20 16:00:00+00:00,67.97,68.16,67.83,67.925,285.0
2025-02-20 17:00:00+00:00,67.925,68.71,67.92,68.67,318.0
2025-02-20 18:00:00+00:00,68.67,68.67,68.425,68.53,329.0
2025-02-20 19:00:00+00:00,68.53,68.66,68.47,68.53,363.0
2025-02-20 20:00:00+00:00,68.535,68.67,68.425,68.43,2010.0
2025-02-21 15:00:00+00:00,69.52,69.52,69.14,69.27,346.0
2025-02-21 16:00:00+00:00,69.27,69.3,68.915,68.92,317.0
2025-02-21 17:00:00+00:00,68.92,68.92,68.37,68.395,572.0
2025-02-21 18:00:00+00:00,68.32,68.41,68.195,68.41,233.0
2025-02-21 19:00:00+00:00,68.41,68.69,68.345,68.65,700.0
2025-02-21 20:00:00+00:00,68.655,69.14,68.655,68.96,3394.0
2025-02-24 15:00:00+00:00,68.7,69.76,68.7,69.725,665.0
2025-02-24 16:00:00+00:00,69.725,69.9,69.67,69.74,462.0
2025-02-24 17:00:00+00:00,69.74,69.85,69.64,69.73,534.0
2025-02-24 18:00:00+00:00,69.73,70.24,69.73,70.21,668.0
2025-02-24 19:00:00+00:00,70.21,70.57,70.21,70.57,440.0
2025-02-24 20:00:00+00:00,70.605,70.605,69.62,69.64,5445.0
2025-02-25 15:00:00+00:00,70.485,71.16,70.205,71.16,458.0
2025-02-25 16:00:00+00:00,71.185,71.53,71.04,71.215,2209.0
2025-02-25 17:00:00+00:00,71.45,71.65,71.32,71.65,317.0
2025-02-25 18:00:00+00:00,71.65,71.96,71.65,71.96,223.0
2025-02-25 19:00:00+00:00,71.9,72.13,71.84,72.13,759.0
2025-02-25 20:00:00+00:00,72.13,72.25,71.02,71.06,1500.0
2025-02-26 15:00:00+00:00,71.12,71.145,70.9,70.9,518.0
2025-02-26 16:00:00+00:00,70.9,71.17,70.9,71.105,850.0
2025-02-26 17:00:00+00:00,71.18,71.18,70.62,70.62,1096.0
2025-02-26 18:00:00+00:00,70.62,70.75,70.34,70.34,187.0
2025-02-26 19:00:00+00:00,70.34,70.635,70.34,70.42,1224.0
2025-02-26 20:00:00+00:00,70.42,70.69,70.185,70.68,4453.0
2025-02-27 15:00:00+00:00,70.435,70.68,69.69,69.69,523.0
2025-02-27 16:00:00+00:00,69.69,70.005,69.415,69.87,360.0
